alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,2.59234224,1.351351,5.18018,0.7447514771,911.02,6053.82,2891012488,55899017.31,E150_1000.1_r50_lk_dr_dest0_rep0_alpha2_ite15.res
4,100,2.490991,1.463964,4.391892,0.7070404112,910.12,4560.45,2959016429,54724917.73,E150_1000.1_r50_lk_dr_dest0_rep0_alpha4_ite15.res
6,100,2.44932429,0.675676,4.842342,0.7850111173,909.75,3861.83,3082043852,53146010.69,E150_1000.1_r50_lk_dr_dest0_rep0_alpha6_ite15.res
8,100,2.3581081,1.238739,4.391892,0.6433997851,908.94,3432.24,3194107407,51483859.88,E150_1000.1_r50_lk_dr_dest0_rep0_alpha8_ite15.res
10,100,2.4876126,1.238739,4.166667,0.6739853164,910.09,3143.06,3275710853,50020288.17,E150_1000.1_r50_lk_dr_dest0_rep0_alpha10_ite15.res
12,100,2.25225223,0.563063,4.391892,0.6487886233,908,2938.25,3377969209,48520054.69,E150_1000.1_r50_lk_dr_dest0_rep0_alpha12_ite15.res
14,100,2.50450452,1.013514,4.617117,0.6400662906,910.24,2759.7,3453496487,47511336.86,E150_1000.1_r50_lk_dr_dest0_rep0_alpha14_ite15.res
16,100,2.48761262,0.900901,4.504505,0.713679195,910.09,2646.75,3505953543,46470842.39,E150_1000.1_r50_lk_dr_dest0_rep0_alpha16_ite15.res
18,100,2.61599096,1.238739,4.054054,0.5451126492,911.23,2539.78,3554670652,45483360.03,E150_1000.1_r50_lk_dr_dest0_rep0_alpha18_ite15.res
20,100,2.71734239,1.126126,4.72973,0.6721888538,912.13,2455.54,3604186360,44710159.63,E150_1000.1_r50_lk_dr_dest0_rep0_alpha20_ite15.res
22,100,2.73761259,1.238739,4.504505,0.6169490267,912.31,2371.51,3651482856,43887873.77,E150_1000.1_r50_lk_dr_dest0_rep0_alpha22_ite15.res
24,100,2.71396394,1.126126,4.391892,0.6060148854,912.1,2296.41,3671757016,43287626.09,E150_1000.1_r50_lk_dr_dest0_rep0_alpha24_ite15.res
