alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.29649115,0,1.403509,0.4132832899,571.69,11276.97,5105856933,211229127.5,E150_1000.1_r100_lk_dr_dest0_rep0_alpha2_ite30.res
4,100,0.28947364,0,2.105263,0.4785943349,571.65,10961.97,5093117049,212619964.9,E150_1000.1_r100_lk_dr_dest0_rep0_alpha4_ite30.res
6,100,0.05789475,0,1.22807,0.1816291926,570.33,8426.16,5346926887,202557533.1,E150_1000.1_r100_lk_dr_dest0_rep0_alpha6_ite30.res
8,100,0.04561406,0,1.22807,0.1859679212,570.26,8209.29,5333955063,203064116.3,E150_1000.1_r100_lk_dr_dest0_rep0_alpha8_ite30.res
10,100,0.03157896,0,0.701754,0.1256227604,570.18,7121.69,5459687080,198558079.7,E150_1000.1_r100_lk_dr_dest0_rep0_alpha10_ite30.res
12,100,0.03157895,0,0.701754,0.1179648006,570.18,6869.86,5492603739,195422178.7,E150_1000.1_r100_lk_dr_dest0_rep0_alpha12_ite30.res
14,100,0.04385969,0,0.701754,0.1256104056,570.25,6262.03,5524257482,192765657,E150_1000.1_r100_lk_dr_dest0_rep0_alpha14_ite30.res
16,100,0.06842111,0,0.701754,0.1575004328,570.39,6071.12,5593153025,190646938.6,E150_1000.1_r100_lk_dr_dest0_rep0_alpha16_ite30.res
18,100,0.06491236,0,0.877193,0.1509695164,570.37,5716.63,5587256679,188969286,E150_1000.1_r100_lk_dr_dest0_rep0_alpha18_ite30.res
20,100,0.12280711,0,0.701754,0.1890847126,570.7,5530.14,5621233854,187265452.5,E150_1000.1_r100_lk_dr_dest0_rep0_alpha20_ite30.res
22,100,0.163158,0,1.754386,0.2665386133,570.93,5263.07,5633601510,185670484.8,E150_1000.1_r100_lk_dr_dest0_rep0_alpha22_ite30.res
24,100,0.19824573,0,1.052632,0.2307803336,571.13,5117.67,5648966264,183995450.5,E150_1000.1_r100_lk_dr_dest0_rep0_alpha24_ite30.res
