time_sec,mean_best_value,valid_runs
0.5,590.92,100
1.0,585.92,100
1.5,583.24,100
2.0,580.85,100
2.5,579.43,100
3.0,578.48,100
3.5,577.79,100
4.0,576.92,100
4.5,576.44,100
5.0,575.9,100
5.5,575.52,100
6.0,574.89,100
6.5,574.27,100
7.0,573.86,100
7.5,573.43,100
8.0,573.11,100
8.5,572.81,100
9.0,572.5,100
9.5,572.34,100
10.0,572.01,100
10.5,571.86,100
11.0,571.76,100
11.5,571.56,100
12.0,571.31,100
12.5,571.2,100
13.0,571.12,100
13.5,570.94,100
14.0,570.92,100
14.5,570.81,100
15.0,570.72,100
15.5,570.65,100
16.0,570.65,100
16.5,570.63,100
17.0,570.59,100
17.5,570.58,100
18.0,570.57,100
18.5,570.56,100
19.0,570.55,100
19.5,570.51,100
20.0,570.44,100
20.5,570.42,100
21.0,570.41,100
21.5,570.39,100
22.0,570.38,100
22.5,570.34,100
23.0,570.34,100
23.5,570.3,100
24.0,570.25,100
24.5,570.25,100
25.0,570.25,100
25.5,570.25,100
26.0,570.21,100
26.5,570.21,100
27.0,570.21,100
27.5,570.21,100
28.0,570.2,100
28.5,570.19,100
29.0,570.19,100
29.5,570.18,100
30.0,570.18,100
