alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,1.94346739,0.502513,4.396985,0.8478228607,811.47,14269.69,1784422170,36295237.37,E100_1000.5_r50_lk_dr_dest1_rep0_alpha2_ite10.res
4,100,0.56532663,0,1.633166,0.3141339086,800.5,10556.73,1559894387,40529845.26,E100_1000.5_r50_lk_dr_dest1_rep0_alpha4_ite10.res
6,100,0.36934667,0,0.879397,0.2192876046,798.94,9056.63,1584722813,40321788.19,E100_1000.5_r50_lk_dr_dest1_rep0_alpha6_ite10.res
8,100,0.23869331,0,0.879397,0.1885479473,797.9,8175.49,1575932304,40860712.42,E100_1000.5_r50_lk_dr_dest1_rep0_alpha8_ite10.res
10,100,0.23869329,0,0.753769,0.1651077379,797.9,8131.24,1658788288,42657127.34,E100_1000.5_r50_lk_dr_dest1_rep0_alpha10_ite10.res
12,100,0.20728625,0,0.753769,0.1432659103,797.65,8172.59,1809944168,45490521.81,E100_1000.5_r50_lk_dr_dest1_rep0_alpha12_ite10.res
14,100,0.21859278,0,0.628141,0.1378733358,797.74,7780.01,1832694569,45051991.46,E100_1000.5_r50_lk_dr_dest1_rep0_alpha14_ite10.res
16,100,0.23743701,0.125628,0.753769,0.1471307005,797.89,7499.23,1852804085,44505598.12,E100_1000.5_r50_lk_dr_dest1_rep0_alpha16_ite10.res
18,100,0.24623096,0,0.753769,0.1586272706,797.96,7268.85,1884966661,43889450.94,E100_1000.5_r50_lk_dr_dest1_rep0_alpha18_ite10.res
20,100,0.26256259,0,0.628141,0.151613121,798.09,7103.04,1900552018,43510066.4,E100_1000.5_r50_lk_dr_dest1_rep0_alpha20_ite10.res
22,100,0.27010027,0,0.753769,0.1508541692,798.15,6874.51,1919102289,42772500.12,E100_1000.5_r50_lk_dr_dest1_rep0_alpha22_ite10.res
24,100,0.26381889,0,0.753769,0.1708027609,798.1,6706.07,1928337119,42237260.59,E100_1000.5_r50_lk_dr_dest1_rep0_alpha24_ite10.res
