alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0,0,0,0,580,18637.95,2332446506,213977967.4,E100_1000.5_r100_lk_dr_dest1_rep0_alpha2_ite20.res
4,100,0,0,0,0,580,18661.19,2335211901,213983602.6,E100_1000.5_r100_lk_dr_dest1_rep0_alpha4_ite20.res
6,100,0,0,0,0,580,14382.81,2321862089,211653399.8,E100_1000.5_r100_lk_dr_dest1_rep0_alpha6_ite20.res
8,100,0,0,0,0,580,13936.99,2361314929,203721357.2,E100_1000.5_r100_lk_dr_dest1_rep0_alpha8_ite20.res
10,100,0,0,0,0,580,13764.03,2356629283,203890268.6,E100_1000.5_r100_lk_dr_dest1_rep0_alpha10_ite20.res
12,100,0,0,0,0,580,11827.38,2360276659,201185993.3,E100_1000.5_r100_lk_dr_dest1_rep0_alpha12_ite20.res
14,100,0,0,0,0,580,11626.09,2377601491,198304104.4,E100_1000.5_r100_lk_dr_dest1_rep0_alpha14_ite20.res
16,100,0,0,0,0,580,10926.35,2365435043,197719897.3,E100_1000.5_r100_lk_dr_dest1_rep0_alpha16_ite20.res
18,100,0,0,0,0,580,10474.55,2399103672,194115868.8,E100_1000.5_r100_lk_dr_dest1_rep0_alpha18_ite20.res
20,100,0,0,0,0,580,10403.58,2425553637,195034795.3,E100_1000.5_r100_lk_dr_dest1_rep0_alpha20_ite20.res
22,100,0,0,0,0,580,9956.07,2423506063,192062221.3,E100_1000.5_r100_lk_dr_dest1_rep0_alpha22_ite20.res
24,100,0,0,0,0,580,9572.73,2445523235,189374011.2,E100_1000.5_r100_lk_dr_dest1_rep0_alpha24_ite20.res
