alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.00344828,0,0.344828,0.0344828,580.02,19921.93,2339492537,214272421.9,E100_1000.5_r100_lk_dr_dest1_rep1_alpha2_ite20.res
4,100,0.00344828,0,0.344828,0.0344828,580.02,19916.69,2339304578,214093201.2,E100_1000.5_r100_lk_dr_dest1_rep1_alpha4_ite20.res
6,100,0,0,0,0,580,15696.78,2412675811,209937829,E100_1000.5_r100_lk_dr_dest1_rep1_alpha6_ite20.res
8,100,0,0,0,0,580,15449.21,2495889525,200070828.7,E100_1000.5_r100_lk_dr_dest1_rep1_alpha8_ite20.res
10,100,0,0,0,0,580,15163.1,2500271421,200379653.3,E100_1000.5_r100_lk_dr_dest1_rep1_alpha10_ite20.res
12,100,0,0,0,0,580,13718.91,2660028477,191967421.7,E100_1000.5_r100_lk_dr_dest1_rep1_alpha12_ite20.res
14,100,0,0,0,0,580,13507.51,2698364525,188887420.3,E100_1000.5_r100_lk_dr_dest1_rep1_alpha14_ite20.res
16,100,0,0,0,0,580,12757.65,2747522040,185514187.4,E100_1000.5_r100_lk_dr_dest1_rep1_alpha16_ite20.res
18,100,0,0,0,0,580,12354.97,2808332563,181843927.4,E100_1000.5_r100_lk_dr_dest1_rep1_alpha18_ite20.res
20,100,0,0,0,0,580,12191.9,2855965596,181978185.9,E100_1000.5_r100_lk_dr_dest1_rep1_alpha20_ite20.res
22,100,0,0,0,0,580,11589.46,2868886189,177427650.2,E100_1000.5_r100_lk_dr_dest1_rep1_alpha22_ite20.res
24,100,0,0,0,0,580,11148.58,2914212336,174839379.7,E100_1000.5_r100_lk_dr_dest1_rep1_alpha24_ite20.res
