time_sec,mean_best_value,valid_runs
0.5,583.07,100
1.0,581.99,100
1.5,581.31,100
2.0,581.06,100
2.5,580.79,100
3.0,580.61,100
3.5,580.54,100
4.0,580.42,100
4.5,580.36,100
5.0,580.26,100
5.5,580.2,100
6.0,580.2,100
6.5,580.12,100
7.0,580.08,100
7.5,580.08,100
8.0,580.02,100
8.5,580.02,100
9.0,580.02,100
9.5,580.02,100
10.0,580.02,100
10.5,580.02,100
11.0,580,100
11.5,580,100
12.0,580,100
12.5,580,100
13.0,580,100
13.5,580,100
14.0,580,100
14.5,580,100
15.0,580,100
15.5,580,100
16.0,580,100
16.5,580,100
17.0,580,100
17.5,580,100
18.0,580,100
18.5,580,100
19.0,580,100
19.5,580,100
20.0,580,100
