tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,12.930012,12.336892,12.336892,12.336892,12.336892,12.336892,12.336892,12.336892,12.336892,11.150652,12.336892,12.336892,12.336892,10.438909,10.438909
2,12.930012,12.811388,12.336892,12.336892,12.336892,10.557533,12.57414,11.032028,10.794781,10.676157,11.032028,10.794781,11.032028,11.032028,11.032028
3,12.336892,10.083037,12.336892,10.913405,10.676157,10.083037,9.964413,10.320285,10.083037,10.083037,10.083037,10.320285,10.083037,10.083037,10.557533
4,12.336892,10.083037,10.083037,10.913405,10.557533,11.032028,10.083037,9.845789,9.964413,9.727165,9.489917,10.201661,11.032028,11.032028,11.032028
5,9.727165,10.438909,9.727165,9.015421,9.845789,9.845789,9.845789,9.845789,9.845789,9.727165,9.489917,9.964413,9.845789,9.845789,10.913405
6,9.608541,9.727165,8.659549,8.659549,9.727165,9.727165,10.083037,9.845789,9.489917,9.489917,9.489917,9.727165,9.845789,10.557533,9.608541
7,8.659549,8.659549,8.778173,8.778173,9.845789,8.896797,9.489917,9.489917,9.489917,9.489917,9.489917,9.489917,9.845789,9.845789,9.845789
8,9.015421,8.659549,7.829181,7.829181,7.47331,8.896797,7.710558,9.134045,9.371293,9.252669,9.489917,9.489917,9.845789,10.438909,9.845789
9,7.829181,7.947805,8.778173,7.710558,7.591934,7.354686,8.185053,8.896797,9.015421,9.489917,9.489917,9.489917,9.845789,9.489917,9.845789
10,7.829181,8.659549,7.710558,7.829181,6.998814,10.438909,8.540925,8.422301,9.252669,9.489917,9.845789,9.489917,9.489917,9.489917,9.845789
11,7.947805,7.354686,7.591934,8.066429,6.998814,8.185053,7.591934,7.591934,9.252669,9.252669,8.778173,9.845789,9.134045,9.845789,9.964413
12,8.659549,6.88019,7.710558,7.591934,7.947805,8.303677,7.236062,9.608541,9.015421,8.422301,9.134045,8.540925,8.540925,8.540925,9.845789
13,7.710558,7.117438,6.642942,6.405694,8.422301,8.303677,7.947805,7.829181,8.422301,7.829181,8.066429,9.845789,9.845789,9.845789,9.845789
14,9.252669,7.354686,7.591934,6.88019,7.236062,6.405694,6.998814,6.761566,7.710558,8.066429,8.066429,8.185053,9.845789,9.845789,8.540925
15,9.252669,6.524318,7.236062,7.117438,6.761566,6.642942,7.591934,7.710558,7.591934,7.47331,10.201661,8.066429,8.778173,8.896797,9.845789
16,7.354686,6.88019,5.812574,6.998814,7.947805,6.168446,7.710558,7.117438,7.591934,8.540925,8.066429,8.422301,8.066429,8.778173,8.540925
17,6.405694,7.710558,6.88019,6.524318,8.540925,6.88019,6.761566,7.591934,8.303677,7.947805,8.422301,8.540925,9.489917,7.947805,9.845789
18,7.47331,7.710558,6.405694,6.761566,6.998814,6.761566,6.405694,7.117438,7.829181,8.066429,8.540925,7.947805,8.540925,8.066429,8.540925
19,8.066429,6.524318,6.998814,6.88019,6.168446,6.405694,7.117438,6.524318,6.642942,7.710558,7.47331,8.303677,9.845789,9.252669,8.303677
20,6.88019,7.947805,6.642942,6.405694,6.88019,5.575326,6.88019,6.88019,7.710558,8.185053,8.066429,7.354686,9.845789,9.845789,8.185053
21,7.947805,6.168446,7.236062,5.931198,7.947805,5.812574,5.69395,7.236062,7.47331,8.540925,7.947805,7.354686,8.066429,8.066429,9.845789
22,7.947805,6.642942,7.354686,8.066429,6.168446,5.69395,9.371293,8.540925,6.998814,7.354686,9.845789,8.896797,7.354686,7.591934,8.540925
23,6.405694,7.47331,6.049822,6.88019,6.88019,6.049822,5.69395,6.761566,7.354686,7.947805,7.354686,8.066429,8.066429,8.185053,8.540925
24,7.591934,6.28707,7.47331,5.69395,7.591934,6.88019,6.88019,5.812574,7.236062,6.28707,7.591934,7.354686,7.354686,7.47331,8.066429
25,6.524318,7.591934,6.28707,6.28707,6.88019,6.88019,6.998814,5.575326,7.354686,9.371293,6.88019,6.642942,7.354686,7.47331,8.066429
26,6.88019,6.524318,7.354686,7.117438,6.88019,8.066429,6.642942,7.354686,7.354686,7.354686,7.947805,9.489917,7.47331,7.47331,10.794781
27,6.761566,6.88019,5.575326,7.236062,8.659549,6.642942,7.354686,6.88019,7.47331,6.405694,7.354686,8.066429,9.845789,7.710558,9.845789
28,7.117438,6.761566,6.28707,6.524318,7.354686,7.710558,9.134045,7.117438,6.761566,7.117438,7.354686,7.710558,7.47331,8.185053,8.185053
29,7.947805,7.117438,8.066429,6.761566,5.69395,6.88019,6.88019,7.117438,6.761566,9.845789,8.066429,7.947805,7.236062,7.47331,7.591934
30,6.88019,6.642942,8.066429,6.524318,5.931198,7.710558,7.354686,6.88019,6.88019,7.354686,7.47331,7.47331,9.489917,7.947805,9.489917
