tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,16.38796,16.555184,16.555184,16.555184,16.555184,16.555184,11.371237,11.371237,11.371237,11.371237,10.702341,10.702341,11.371237,10.702341,10.702341
2,11.204013,11.371237,11.204013,10.367893,11.371237,10.033445,10.033445,9.866221,9.698997,10.869565,10.869565,8.862876,10.869565,10.869565,10.869565
3,10.367893,9.364548,11.538462,9.0301,11.371237,10.367893,8.862876,9.0301,9.364548,10.869565,10.869565,10.869565,10.869565,10.869565,10.869565
4,7.525084,10.367893,5.685619,7.692308,6.521739,9.197324,9.698997,9.698997,6.856187,6.856187,9.0301,8.862876,10.869565,8.862876,8.862876
5,5.518395,8.695652,5.016722,7.023411,8.862876,8.026756,6.856187,5.852843,7.35786,6.856187,7.35786,8.862876,6.856187,7.35786,10.869565
6,4.180602,4.682274,3.67893,7.023411,5.016722,8.695652,7.525084,5.685619,7.023411,6.856187,6.688963,8.862876,7.023411,7.023411,7.023411
7,5.016722,4.180602,4.347826,4.347826,4.013378,5.351171,5.016722,5.852843,7.023411,5.518395,9.866221,6.856187,6.856187,7.023411,7.023411
8,3.177258,4.347826,5.016722,7.023411,5.016722,5.685619,5.183946,7.190635,6.521739,5.852843,7.023411,7.023411,7.023411,7.35786,7.525084
9,3.511706,2.842809,4.347826,4.013378,3.511706,7.023411,5.518395,8.19398,5.518395,5.685619,6.521739,6.688963,6.856187,7.023411,7.35786
10,3.344482,5.183946,2.675585,4.013378,5.016722,4.347826,4.347826,5.016722,5.351171,7.35786,5.351171,5.351171,6.856187,8.19398,10.869565
11,4.347826,3.010033,3.511706,3.511706,3.67893,5.016722,5.016722,5.016722,5.016722,5.016722,6.020067,7.023411,7.692308,7.692308,7.692308
12,3.177258,2.842809,2.675585,5.016722,3.010033,3.177258,4.849498,6.856187,5.183946,5.016722,5.351171,6.521739,6.856187,7.023411,7.023411
13,3.010033,2.675585,3.010033,4.682274,3.177258,3.177258,4.347826,5.685619,5.685619,6.688963,4.682274,6.688963,5.518395,5.685619,7.023411
14,3.010033,2.508361,3.67893,3.846154,3.344482,4.347826,3.344482,4.849498,6.354515,5.351171,6.187291,5.852843,5.518395,5.518395,7.023411
15,2.675585,2.675585,3.846154,3.177258,3.177258,3.344482,3.67893,3.846154,5.016722,4.682274,8.19398,5.016722,5.351171,8.19398,8.19398
16,2.341137,2.341137,2.508361,3.010033,3.846154,4.682274,3.511706,4.180602,5.685619,8.19398,5.016722,5.518395,8.19398,8.19398,7.023411
17,2.341137,2.675585,2.675585,3.010033,3.177258,4.682274,3.846154,3.67893,5.183946,5.016722,5.183946,5.351171,6.688963,5.685619,7.023411
18,2.675585,2.842809,2.675585,4.347826,3.344482,3.177258,3.67893,5.183946,4.013378,4.347826,4.682274,5.518395,6.187291,7.023411,8.528428
19,2.508361,2.508361,2.675585,2.508361,2.842809,3.177258,3.67893,4.51505,4.013378,6.856187,5.016722,5.351171,5.518395,6.856187,8.528428
20,2.508361,2.508361,2.675585,3.177258,3.010033,3.511706,3.344482,3.344482,5.183946,4.682274,5.518395,7.023411,5.518395,6.856187,7.692308
21,2.006689,2.842809,2.675585,2.675585,2.842809,3.344482,3.511706,4.013378,3.846154,5.016722,6.020067,5.183946,5.852843,7.023411,6.688963
22,1.839465,2.508361,2.508361,2.675585,2.842809,3.511706,3.344482,3.846154,5.852843,5.183946,5.351171,5.685619,5.852843,6.521739,7.190635
23,2.006689,2.675585,2.173913,2.842809,3.177258,3.344482,3.344482,4.013378,4.013378,5.518395,5.016722,5.518395,6.688963,6.354515,6.856187
24,1.672241,1.839465,2.675585,2.341137,2.842809,3.177258,4.013378,4.013378,4.180602,4.682274,5.016722,5.518395,6.688963,7.023411,7.023411
25,2.006689,2.006689,2.675585,2.508361,2.675585,3.177258,3.846154,3.846154,4.013378,5.016722,5.351171,6.187291,6.187291,7.190635,8.528428
26,2.173913,2.675585,2.341137,2.675585,3.511706,3.67893,3.344482,3.846154,4.51505,4.849498,5.351171,5.518395,5.518395,6.856187,7.190635
27,2.173913,2.006689,2.341137,2.842809,2.842809,3.511706,3.511706,5.183946,4.682274,4.51505,5.518395,5.685619,6.856187,6.688963,6.856187
28,1.672241,2.341137,2.006689,2.675585,2.842809,3.344482,3.511706,4.013378,4.51505,5.016722,5.518395,5.685619,7.023411,7.190635,6.856187
29,1.672241,2.341137,2.341137,3.010033,3.344482,3.67893,3.511706,4.013378,4.849498,5.183946,5.518395,5.685619,7.023411,7.190635,8.528428
30,1.839465,2.173913,2.173913,3.010033,3.010033,3.511706,3.846154,4.013378,4.682274,5.183946,5.518395,6.688963,6.856187,7.692308,7.190635
