time_sec,mean_best_value,valid_runs
0.5,614.75,8
1.0,614.75,8
1.5,614.75,8
2.0,614.75,8
2.5,614.75,8
3.0,614.75,8
3.5,614.75,8
4.0,614.75,8
4.5,614.75,8
5.0,614.75,8
5.5,614.75,8
6.0,614.75,8
6.5,614.75,8
7.0,614.75,8
7.5,614.75,8
8.0,614.75,8
8.5,614.75,8
9.0,614.75,8
9.5,614.75,8
10.0,614.75,8
10.5,614.75,8
11.0,614.75,8
11.5,614.75,8
12.0,614.75,8
12.5,614.75,8
13.0,614.75,8
13.5,614.75,8
14.0,614.75,8
14.5,614.75,8
15.0,614.75,8
15.5,614.75,8
16.0,614.75,8
16.5,614.75,8
17.0,614.75,8
17.5,614.75,8
18.0,614.75,8
18.5,614.75,8
19.0,614.75,8
19.5,614.75,8
20.0,614.75,8
20.5,614.75,8
21.0,614.75,8
21.5,614.75,8
22.0,614.75,8
22.5,614.75,8
23.0,614.75,8
23.5,614.75,8
24.0,614.75,8
24.5,614.75,8
25.0,614.75,8
25.5,614.75,8
26.0,614.75,8
26.5,614.75,8
27.0,614.75,8
27.5,614.75,8
28.0,614.75,8
28.5,614.75,8
29.0,614.75,8
29.5,614.75,8
30.0,614.75,8
