tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,4.72742466,4.53010029,4.34782604,4.18729086,4.24080262,4.16220731,3.99999998,3.94147155,3.90802672,4.01337791,3.97826086,3.93979931,4.00668896,3.90635451,4.05518394
2,4.12040125,3.88795974,3.58528424,3.49331094,3.389632,3.34949824,3.38294311,3.00167222,3.1722408,3.09030102,3.22408027,3.24581937,3.43143811,3.47324411,3.59866215
3,3.54849491,3.04515036,3.36287618,2.72742466,2.7173912,2.79431431,2.83779262,2.60033451,2.72240807,2.85953184,3.06688966,3.24916388,3.24749167,3.42642138,3.54682273
4,2.95652165,2.25418043,2.03344465,2.28929753,2.46321059,2.34448149,2.47658862,2.46153846,2.69063549,2.52675591,3.09866218,3.01170565,3.3595318,3.28428089,3.42642141
5,2.1103678,1.96153835,1.67558513,1.87792632,1.98996644,2.25919723,2.21070231,2.26086956,2.58026762,2.62541803,2.75418058,2.90635453,3.10200666,3.19732444,3.16555186
6,1.62541788,1.69565201,1.34949812,1.55685601,1.81772556,1.97826078,2.07692299,2.1638796,2.23745823,2.42642134,2.64046823,2.93311035,2.94314386,2.94983282,3.17224084
7,1.45150486,1.52341126,1.49163863,1.64214026,1.50167213,1.90969893,2.06020061,2.0769231,2.40635449,2.29264216,2.69230777,2.56020072,2.83110373,3.02006691,3.02675579
8,1.17892954,1.44147142,1.61538443,1.62541792,1.63545141,1.83612036,1.88294312,2.23244151,2.22742477,2.31270901,2.64381274,2.48662204,2.80936454,3.12040136,3.15384614
9,1.105351,1.22073563,1.44648815,1.53678917,1.62541789,1.78762537,1.80434776,2.08695651,2.28595312,2.39130433,2.64715727,2.638796,2.84280935,2.93311041,3.06354513
10,0.97658842,1.37625398,1.34782585,1.55685616,1.60535109,1.80602003,1.78260862,2.19063542,2.02341138,2.44816052,2.39297656,2.59364553,2.81939805,3.09197323,3.35953174
11,1.13712351,1.34949812,1.24080252,1.42474905,1.52508355,1.79096983,1.93311032,2.10200666,2.29933108,2.32274251,2.41304344,2.70234117,2.9732442,3.07859535,3.2391304
12,0.9548493,1.06354492,1.14548478,1.42307682,1.61705676,1.67056853,1.84280928,1.98996653,2.1354515,2.22575246,2.61705686,2.7006689,2.71237459,2.91304348,3.0819398
13,0.9264212,1.08193959,1.36120385,1.46488282,1.68394641,1.69732431,1.69565214,2.03678927,2.18227427,2.17224082,2.33110368,2.58695657,2.8812709,3.10869564,3.08026752
14,0.95986597,1.06856169,1.20902992,1.37458181,1.51839456,1.59197317,1.77926415,2.20568556,2.18561874,2.27090297,2.59364552,2.73913046,2.98327761,2.97491637,3.16889631
15,0.97993292,1.14214028,1.18060185,1.34782602,1.44481599,1.66387952,1.82274243,2.07692305,2.20066885,2.19899667,2.68729098,2.6304348,3.04347824,3.10367891,3.20903008
16,0.82106992,1.09030086,1.19899651,1.33946483,1.46822733,1.71070223,1.80602006,2.05183941,2.14715716,2.45819399,2.69732446,2.65886289,3.06521738,3.09197326,3.39632105
17,0.90802658,1.08862861,1.10869548,1.39297657,1.50501666,1.70568555,1.94314376,1.95652172,2.13210703,2.41137128,2.48160538,2.78595318,3.12876249,3.10535114,3.21237453
18,0.86287603,1.05351153,1.09030089,1.26421399,1.37959859,1.65050162,1.85953173,2.11036779,2.17558533,2.38294316,2.58862878,3.01003347,3.1036789,3.19732441,3.4063545
19,0.77759174,0.95317711,1.19230762,1.26086949,1.44983273,1.45652176,1.87959864,2.10033444,2.24247492,2.54682279,2.57859536,3.01839466,2.8979933,3.08193978,3.37792641
20,0.82943121,0.97826067,1.16220732,1.31939794,1.25585287,1.65050162,1.78762535,2.05016719,2.19565221,2.37123744,2.67725753,2.71571905,2.99665553,3.1622073,3.37959863
21,0.80100315,0.959866,1.17056851,1.32107021,1.58695648,1.64214039,1.9765886,2.17558522,2.06354511,2.47993313,2.770903,2.64715719,3.17892975,3.270903,3.34448158
22,0.70401312,0.93478238,1.22073571,1.2876254,1.45986615,1.80434778,1.77257523,2.05183944,2.16053513,2.29264214,2.75585287,2.85953183,3.17725749,3.25919731,3.42809364
23,0.73076899,1.0351169,1.17892977,1.33277586,1.52006688,1.78595313,1.91471568,1.9765886,2.23578596,2.28428096,2.6471572,2.91471573,3.23411369,3.22909697,3.34280933
24,0.82775897,0.97658851,1.1889632,1.33444819,1.53511696,1.60033443,1.89799322,2.08026757,2.19397994,2.35451507,2.65719068,3.00167222,3.18394648,3.50334446,3.48662205
25,0.86454832,1.00334431,1.18561865,1.31438129,1.57859534,1.80100338,1.99331104,2.0702341,2.28595319,2.65217392,2.67224082,3.04180603,3.23411369,3.26923074,3.40301
26,0.73411348,0.95819384,1.12207349,1.32608689,1.54180602,1.65551839,1.96153841,2.08695655,2.22073582,2.30267559,2.63377931,2.91471573,3.07525082,3.24749162,3.49999997
27,0.86622055,1.0652172,1.17056849,1.32608694,1.60702339,1.73745815,1.97658858,2.12709032,2.5585285,2.32107024,2.67224079,2.8645485,3.26588627,3.319398,3.47157187
28,0.82775902,0.92809352,1.23913043,1.38628761,1.53010028,1.67056856,1.98662204,2.21237458,2.34949832,2.58528433,2.86120402,3.1521739,3.30434779,3.45484949,3.40468223
29,0.72909687,1.00836104,1.2792642,1.40133776,1.67892975,1.85785957,2.07859535,2.24916387,2.40802675,2.58361205,2.7809365,2.89799334,3.52675585,3.48494983,3.59030096
30,0.79765863,1.00334438,1.20903,1.51505023,1.62709023,1.93979932,2.05016722,2.21070241,2.38127094,2.64715721,2.77759198,3.17056855,3.2993311,3.54180601,3.55183943
