time_sec,mean_best_value,valid_runs
0.5,550.14,100
1.0,545.8,100
1.5,544.57,100
2.0,543.9,100
2.5,543.27,100
3.0,542.94,100
3.5,542.59,100
4.0,542.49,100
4.5,542.41,100
5.0,542.34,100
5.5,542.23,100
6.0,542.23,100
6.5,542.16,100
7.0,542.16,100
7.5,542.16,100
8.0,542.15,100
8.5,542.13,100
9.0,542.13,100
9.5,542.13,100
10.0,542.13,100
10.5,542.11,100
11.0,542.04,100
11.5,542.04,100
12.0,542.04,100
12.5,542.04,100
13.0,542.04,100
13.5,542.04,100
14.0,542.04,100
14.5,542.02,100
15.0,542.02,100
15.5,542,100
16.0,542,100
16.5,542,100
17.0,542,100
17.5,542,100
18.0,542,100
18.5,542,100
19.0,542,100
19.5,542,100
20.0,542,100
