alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.90535491,0,2.366127,0.5417738518,810.27,14524.02,1757100271,43063037.62,E100_1000.2_r50_lk_dr_dest1_rep1_alpha2_ite10.res
4,100,0.31631382,0,1.743462,0.3483957667,805.54,12068.26,1886835886,37768862.96,E100_1000.2_r50_lk_dr_dest1_rep1_alpha4_ite10.res
6,100,0.21419676,0,0.747198,0.1890543206,804.72,11754.02,2122993164,33680877.42,E100_1000.2_r50_lk_dr_dest1_rep1_alpha6_ite10.res
8,100,0.2117061,0,0.747198,0.1756709566,804.7,11173.62,2162003070,32921667.61,E100_1000.2_r50_lk_dr_dest1_rep1_alpha8_ite10.res
10,100,0.22665006,0,0.498132,0.1474344584,804.82,10924.27,2241028435,31430413.66,E100_1000.2_r50_lk_dr_dest1_rep1_alpha10_ite10.res
12,100,0.35491905,0.124533,0.622665,0.1536722724,805.85,10524.23,2287810790,30673870.6,E100_1000.2_r50_lk_dr_dest1_rep1_alpha12_ite10.res
14,100,0.46948941,0.124533,0.747198,0.1561798874,806.77,10302.89,2331642815,30019936.11,E100_1000.2_r50_lk_dr_dest1_rep1_alpha14_ite10.res
16,100,0.498132,0.124533,0.996264,0.1864847576,807,10022.97,2355572597,29675522.7,E100_1000.2_r50_lk_dr_dest1_rep1_alpha16_ite10.res
18,100,0.6475716,0.124533,0.996264,0.2033615374,808.2,9707.22,2362957242,29417008.56,E100_1000.2_r50_lk_dr_dest1_rep1_alpha18_ite10.res
20,100,0.74346201,0.124533,1.369863,0.2185509442,808.97,9402.68,2371707884,29225270.6,E100_1000.2_r50_lk_dr_dest1_rep1_alpha20_ite10.res
22,100,0.89290161,0.124533,1.618929,0.3278413487,810.17,9110,2380280402,28982271.84,E100_1000.2_r50_lk_dr_dest1_rep1_alpha22_ite10.res
24,100,1.0834371,0.373599,1.867995,0.3113953891,811.7,8875.31,2389320045,28839666.61,E100_1000.2_r50_lk_dr_dest1_rep1_alpha24_ite10.res
