alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.00369004,0,0.369004,0.0369004,542.02,19707.21,2452203381,152470703.4,E100_1000.2_r100_lk_dr_dest1_rep1_alpha2_ite20.res
4,100,0.00369004,0,0.369004,0.0369004,542.02,19678.93,2449735075,152441473.4,E100_1000.2_r100_lk_dr_dest1_rep1_alpha4_ite20.res
6,100,0,0,0,0,542,16536.9,2637376785,139749593.1,E100_1000.2_r100_lk_dr_dest1_rep1_alpha6_ite20.res
8,100,0,0,0,0,542,16548.89,2693825292,135287268.1,E100_1000.2_r100_lk_dr_dest1_rep1_alpha8_ite20.res
10,100,0,0,0,0,542,16379.05,2834639950,131898172.3,E100_1000.2_r100_lk_dr_dest1_rep1_alpha10_ite20.res
12,100,0,0,0,0,542,16280.22,3124401723,119852361.3,E100_1000.2_r100_lk_dr_dest1_rep1_alpha12_ite20.res
14,100,0,0,0,0,542,15606.03,3165557103,118613182.5,E100_1000.2_r100_lk_dr_dest1_rep1_alpha14_ite20.res
16,100,0,0,0,0,542,14987.08,3268505167,114701156,E100_1000.2_r100_lk_dr_dest1_rep1_alpha16_ite20.res
18,100,0,0,0,0,542,14511.64,3293429522,113046185.1,E100_1000.2_r100_lk_dr_dest1_rep1_alpha18_ite20.res
20,100,0,0,0,0,542,14016.8,3318181642,112032615.9,E100_1000.2_r100_lk_dr_dest1_rep1_alpha20_ite20.res
22,100,0,0,0,0,542,13378.95,3349673499,110319462.1,E100_1000.2_r100_lk_dr_dest1_rep1_alpha22_ite20.res
24,100,0.00184502,0,0.184502,0.0184502,542.01,12931.88,3384759106,109083330,E100_1000.2_r100_lk_dr_dest1_rep1_alpha24_ite20.res
