alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0,0,0,0,542,18155.5,2334153911,160295334.8,E100_1000.2_r100_lk_dr_dest1_rep0_alpha2_ite20.res
4,100,0,0,0,0,542,18157.65,2332109129,160434086.7,E100_1000.2_r100_lk_dr_dest1_rep0_alpha4_ite20.res
6,100,0,0,0,0,542,14757.68,2374239258,153061698.3,E100_1000.2_r100_lk_dr_dest1_rep0_alpha6_ite20.res
8,100,0,0,0,0,542,14550.6,2431289601,147036549.7,E100_1000.2_r100_lk_dr_dest1_rep0_alpha8_ite20.res
10,100,0,0,0,0,542,14223.65,2423913702,147363759.2,E100_1000.2_r100_lk_dr_dest1_rep0_alpha10_ite20.res
12,100,0,0,0,0,542,12755.51,2488969250,143310231.9,E100_1000.2_r100_lk_dr_dest1_rep0_alpha12_ite20.res
14,100,0,0,0,0,542,12595.66,2507447633,141221152.6,E100_1000.2_r100_lk_dr_dest1_rep0_alpha14_ite20.res
16,100,0,0,0,0,542,11823.19,2530993513,139762320.9,E100_1000.2_r100_lk_dr_dest1_rep0_alpha16_ite20.res
18,100,0,0,0,0,542,11472.35,2564863763,136503674.8,E100_1000.2_r100_lk_dr_dest1_rep0_alpha18_ite20.res
20,100,0,0,0,0,542,11270.34,2575378735,135845676.6,E100_1000.2_r100_lk_dr_dest1_rep0_alpha20_ite20.res
22,100,0,0,0,0,542,10831.25,2596555773,134103842.5,E100_1000.2_r100_lk_dr_dest1_rep0_alpha22_ite20.res
24,100,0,0,0,0,542,10434.2,2620067584,131900344.1,E100_1000.2_r100_lk_dr_dest1_rep0_alpha24_ite20.res
