alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.78082191,0,3.113325,0.5529355293,809.27,13995.75,1681842093,43434530.05,E100_1000.2_r50_lk_dr_dest1_rep0_alpha2_ite10.res
4,100,0.33748443,0,1.24533,0.3157888263,805.71,11229.69,1630458530,43043827.31,E100_1000.2_r50_lk_dr_dest1_rep0_alpha4_ite10.res
6,100,0.06724782,0,0.498132,0.1375853558,803.54,9671.92,1589532143,43182415.43,E100_1000.2_r50_lk_dr_dest1_rep0_alpha6_ite10.res
8,100,0.11083437,0,0.498132,0.1572195653,803.89,9292.58,1590213033,43616955.48,E100_1000.2_r50_lk_dr_dest1_rep0_alpha8_ite10.res
10,100,0.13075965,0,0.373599,0.1616217386,804.05,8491,1611125044,43365780.46,E100_1000.2_r50_lk_dr_dest1_rep0_alpha10_ite10.res
12,100,0.15317559,0,0.498132,0.1768751246,804.23,7929.25,1634148689,42731257.53,E100_1000.2_r50_lk_dr_dest1_rep0_alpha12_ite10.res
14,100,0.20174346,0,0.498132,0.1888055758,804.62,7469.38,1645178997,42466434.38,E100_1000.2_r50_lk_dr_dest1_rep0_alpha14_ite10.res
16,100,0.24408468,0,0.498132,0.1795691553,804.96,7149.1,1660940127,41875053.62,E100_1000.2_r50_lk_dr_dest1_rep0_alpha16_ite10.res
18,100,0.28019925,0,0.747198,0.1958069954,805.25,6873.1,1683314583,41348863.99,E100_1000.2_r50_lk_dr_dest1_rep0_alpha18_ite10.res
20,100,0.30261519,0,0.747198,0.2035578714,805.43,6705.09,1701483371,40886546.92,E100_1000.2_r50_lk_dr_dest1_rep0_alpha20_ite10.res
22,100,0.40473225,0,1.24533,0.2493017464,806.25,6510.06,1726999841,40171606.12,E100_1000.2_r50_lk_dr_dest1_rep0_alpha22_ite10.res
24,100,0.43835616,0,1.24533,0.2075399045,806.52,6395.63,1752266741,39639581.78,E100_1000.2_r50_lk_dr_dest1_rep0_alpha24_ite10.res
