time_sec,mean_best_value,valid_runs
0.5,611.21,100
1.0,608.31,100
1.5,606.74,100
2.0,605.38,100
2.5,604.98,100
3.0,604.59,100
3.5,604.41,100
4.0,603.89,100
4.5,603.68,100
5.0,603.43,100
5.5,603.21,100
6.0,603.02,100
6.5,602.83,100
7.0,602.7,100
7.5,602.63,100
8.0,602.47,100
8.5,602.45,100
9.0,602.4,100
9.5,602.4,100
10.0,602.37,100
10.5,602.32,100
11.0,602.25,100
11.5,602.2,100
12.0,602.12,100
12.5,602.02,100
13.0,601.96,100
13.5,601.83,100
14.0,601.75,100
14.5,601.75,100
15.0,601.7,100
15.5,601.56,100
16.0,601.56,100
16.5,601.51,100
17.0,601.46,100
17.5,601.46,100
18.0,601.46,100
18.5,601.41,100
19.0,601.39,100
19.5,601.3,100
20.0,601.3,100
20.5,601.25,100
21.0,601.2,100
21.5,601.07,100
22.0,601.02,100
22.5,600.97,100
23.0,600.97,100
23.5,600.97,100
24.0,600.92,100
24.5,600.92,100
25.0,600.92,100
25.5,600.87,100
26.0,600.87,100
26.5,600.82,100
27.0,600.77,100
27.5,600.72,100
28.0,600.72,100
28.5,600.62,100
29.0,600.57,100
29.5,600.5,100
30.0,600.5,100
