alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.55183921,0,1.505017,0.395224267,601.3,8936.03,3361374939,315249492.5,E150_1000.3_r100_lk_dr_dest1_rep0_alpha2_ite30.res
4,100,0.54180577,0,1.505017,0.4027427738,601.24,8923.27,3363745764,313936400.3,E150_1000.3_r100_lk_dr_dest1_rep0_alpha4_ite30.res
6,100,0.68729064,0,0.83612,0.3098034908,602.11,7259.74,3567480127,283167413.9,E150_1000.3_r100_lk_dr_dest1_rep0_alpha6_ite30.res
8,100,0.67056824,0,1.003344,0.322840721,602.01,7191.62,3590233399,278302029.2,E150_1000.3_r100_lk_dr_dest1_rep0_alpha8_ite30.res
10,100,0.76588593,0,1.337793,0.2343065887,602.58,6653.65,3621271570,273834694.8,E150_1000.3_r100_lk_dr_dest1_rep0_alpha10_ite30.res
12,100,0.79264177,0,1.337793,0.2287433315,602.74,6298.38,3752024715,258254102.4,E150_1000.3_r100_lk_dr_dest1_rep0_alpha12_ite30.res
14,100,0.7859528,0,1.003344,0.2261102747,602.7,6042.51,3795854855,255061972.2,E150_1000.3_r100_lk_dr_dest1_rep0_alpha14_ite30.res
16,100,0.82274211,0,1.337793,0.1984039042,602.92,5807.5,3876784891,246376906.2,E150_1000.3_r100_lk_dr_dest1_rep0_alpha16_ite30.res
18,100,0.82608658,0,1.505017,0.2302204016,602.94,5623.86,3905362481,242728748.7,E150_1000.3_r100_lk_dr_dest1_rep0_alpha18_ite30.res
20,100,0.87792606,0,1.505017,0.1921773439,603.25,5477.28,3950266033,238397734.9,E150_1000.3_r100_lk_dr_dest1_rep0_alpha20_ite30.res
22,100,0.9013375,0,1.505017,0.2097738061,603.39,5283.68,4010025891,232379751.4,E150_1000.3_r100_lk_dr_dest1_rep0_alpha22_ite30.res
24,100,0.91137096,0,1.505017,0.2296739817,603.45,5153.91,4069904793,226928541,E150_1000.3_r100_lk_dr_dest1_rep0_alpha24_ite30.res
