alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,3.9905101,1.779359,7.236062,1.202604726,876.64,6822.39,3378870434,46449041.7,E150_1000.3_r50_lk_dr_dest1_rep0_alpha2_ite15.res
4,100,3.0854092,1.542112,5.931198,1.028833904,869.01,5275.35,3362602106,45808264.06,E150_1000.3_r50_lk_dr_dest1_rep0_alpha4_ite15.res
6,100,2.97034396,1.304864,5.931198,0.9096723578,868.04,4423.6,3354229045,45698690.69,E150_1000.3_r50_lk_dr_dest1_rep0_alpha6_ite15.res
8,100,3.74970346,1.304864,5.69395,0.9476270037,874.61,3896.19,3327556893,45619672.94,E150_1000.3_r50_lk_dr_dest1_rep0_alpha8_ite15.res
10,100,3.96678539,1.779359,5.575326,0.7896249068,876.44,3574.34,3390499585,44705505.48,E150_1000.3_r50_lk_dr_dest1_rep0_alpha10_ite15.res
12,100,4.36417557,2.135231,6.049822,0.7836574705,879.79,3360.66,3457296728,43978632.91,E150_1000.3_r50_lk_dr_dest1_rep0_alpha12_ite15.res
14,100,4.50177938,2.728351,6.405694,0.7330670749,880.95,3194.65,3547846462,42871877.48,E150_1000.3_r50_lk_dr_dest1_rep0_alpha14_ite15.res
16,100,4.84460257,2.372479,6.405694,0.8209371094,883.84,3096.26,3603176628,42020589.35,E150_1000.3_r50_lk_dr_dest1_rep0_alpha16_ite15.res
18,100,5.04270451,3.202847,6.524318,0.7094423493,885.51,2997.03,3663947373,41110887.74,E150_1000.3_r50_lk_dr_dest1_rep0_alpha18_ite15.res
20,100,5.10913389,2.491103,6.524318,0.7697420485,886.07,2902.69,3720706951,40228370.07,E150_1000.3_r50_lk_dr_dest1_rep0_alpha20_ite15.res
22,100,5.27639375,2.846975,6.88019,0.7754865196,887.48,2822.81,3767365674,39579055.38,E150_1000.3_r50_lk_dr_dest1_rep0_alpha22_ite15.res
24,100,5.48754434,3.440095,6.88019,0.6374999277,889.26,2756.89,3805362863,38968826.05,E150_1000.3_r50_lk_dr_dest1_rep0_alpha24_ite15.res
