alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,4.40332151,2.016607,7.829181,1.325267706,880.12,6831.43,3385688304,45950806.23,E150_1000.3_r50_lk_dr_dest0_rep0_alpha2_ite15.res
4,100,3.64768683,1.304864,6.88019,1.147054657,873.75,5117.12,3470542878,44620893.85,E150_1000.3_r50_lk_dr_dest0_rep0_alpha4_ite15.res
6,100,3.19454319,1.542112,5.69395,1.067716239,869.93,4221.16,3590249489,42924468.41,E150_1000.3_r50_lk_dr_dest0_rep0_alpha6_ite15.res
8,100,3.32977453,1.660735,5.931198,1.057684875,871.07,3715.46,3676532812,41423921.7,E150_1000.3_r50_lk_dr_dest0_rep0_alpha8_ite15.res
10,100,3.13878997,1.304864,5.575326,0.9321297955,869.46,3394.9,3762445521,40178759.81,E150_1000.3_r50_lk_dr_dest0_rep0_alpha10_ite15.res
12,100,3.30960851,1.779359,6.049822,0.9016021152,870.9,3183.03,3821530927,39254655.85,E150_1000.3_r50_lk_dr_dest0_rep0_alpha12_ite15.res
14,100,3.39383159,1.897983,6.405694,0.751927245,871.61,2968.22,3898923050,37938250.69,E150_1000.3_r50_lk_dr_dest0_rep0_alpha14_ite15.res
16,100,3.55753266,1.897983,5.69395,0.8234914861,872.99,2852.64,3913875585,37724403.42,E150_1000.3_r50_lk_dr_dest0_rep0_alpha16_ite15.res
18,100,3.71411631,1.897983,6.049822,0.8020156671,874.31,2743.61,3947571958,37082931.97,E150_1000.3_r50_lk_dr_dest0_rep0_alpha18_ite15.res
20,100,3.77105585,2.016607,6.524318,0.8244919811,874.79,2652.17,3992783881,36467819.14,E150_1000.3_r50_lk_dr_dest0_rep0_alpha20_ite15.res
22,100,3.87188622,2.253855,5.69395,0.7191976105,875.64,2566.79,4013051890,36053546.43,E150_1000.3_r50_lk_dr_dest0_rep0_alpha22_ite15.res
24,100,3.94187434,1.897983,5.456702,0.7992034644,876.23,2497.14,4033950548,35734506.33,E150_1000.3_r50_lk_dr_dest0_rep0_alpha24_ite15.res
