time_sec,mean_best_value,valid_runs
0.5,611.89,100
1.0,609.18,100
1.5,607.32,100
2.0,606.41,100
2.5,605.91,100
3.0,605.15,100
3.5,604.85,100
4.0,604.5,100
4.5,604.35,100
5.0,604.16,100
5.5,604.03,100
6.0,603.78,100
6.5,603.56,100
7.0,603.42,100
7.5,603.24,100
8.0,603.2,100
8.5,603.07,100
9.0,602.92,100
9.5,602.71,100
10.0,602.7,100
10.5,602.69,100
11.0,602.69,100
11.5,602.67,100
12.0,602.64,100
12.5,602.64,100
13.0,602.6,100
13.5,602.55,100
14.0,602.51,100
14.5,602.5,100
15.0,602.49,100
15.5,602.34,100
16.0,602.19,100
16.5,602.19,100
17.0,602.19,100
17.5,602.19,100
18.0,602.14,100
18.5,602.1,100
19.0,602.1,100
19.5,602.1,100
20.0,602.05,100
20.5,602,100
21.0,601.97,100
21.5,601.97,100
22.0,601.94,100
22.5,601.84,100
23.0,601.84,100
23.5,601.79,100
24.0,601.74,100
24.5,601.74,100
25.0,601.74,100
25.5,601.68,100
26.0,601.68,100
26.5,601.61,100
27.0,601.61,100
27.5,601.56,100
28.0,601.51,100
28.5,601.46,100
29.0,601.46,100
29.5,601.46,100
30.0,601.46,100
