alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.50167201,0,2.006689,0.4271666171,601,8909.91,3368703072,312770231.8,E150_1000.3_r100_lk_dr_dest0_rep0_alpha2_ite30.res
4,100,0.46488272,0,1.003344,0.4009573653,600.78,8928.74,3381984742,312778834.6,E150_1000.3_r100_lk_dr_dest0_rep0_alpha4_ite30.res
6,100,0.41806,0,0.83612,0.4106465475,600.5,7055.45,3637841703,288113620.8,E150_1000.3_r100_lk_dr_dest0_rep0_alpha6_ite30.res
8,100,0.63210672,0,0.83612,0.3513995645,601.78,6994.25,3677304162,283257193.4,E150_1000.3_r100_lk_dr_dest0_rep0_alpha8_ite30.res
10,100,0.60702312,0,1.003344,0.3562493269,601.63,6454.21,3730279036,278353955.4,E150_1000.3_r100_lk_dr_dest0_rep0_alpha10_ite30.res
12,100,0.72575216,0,0.83612,0.2712282074,602.34,6028.94,3887549245,263036171.3,E150_1000.3_r100_lk_dr_dest0_rep0_alpha12_ite30.res
14,100,0.6939796,0,0.83612,0.2953143109,602.15,5769.68,3932096845,259632048.1,E150_1000.3_r100_lk_dr_dest0_rep0_alpha14_ite30.res
16,100,0.70568528,0,0.83612,0.2797990828,602.22,5493.83,4041454198,250411225.9,E150_1000.3_r100_lk_dr_dest0_rep0_alpha16_ite30.res
18,100,0.72073545,0,1.170569,0.2611203244,602.31,5323.64,4085013749,246282871.6,E150_1000.3_r100_lk_dr_dest0_rep0_alpha18_ite30.res
20,100,0.77257488,0,1.003344,0.2055363967,602.62,5153.18,4133033419,240476327.9,E150_1000.3_r100_lk_dr_dest0_rep0_alpha20_ite30.res
22,100,0.79933072,0,1.003344,0.2172937283,602.78,4948.33,4186085590,234407721.3,E150_1000.3_r100_lk_dr_dest0_rep0_alpha22_ite30.res
24,100,0.8060197,0,1.672241,0.2221785549,602.82,4809.83,4245607360,229109664.3,E150_1000.3_r100_lk_dr_dest0_rep0_alpha24_ite30.res
