time_sec,mean_best_value,valid_runs
0.5,610.84,100
1.0,607.99,100
1.5,606.95,100
2.0,606.34,100
2.5,605.87,100
3.0,605.63,100
3.5,605.04,100
4.0,604.53,100
4.5,604.18,100
5.0,604.11,100
5.5,603.9,100
6.0,603.67,100
6.5,603.63,100
7.0,603.42,100
7.5,603.25,100
8.0,603.21,100
8.5,603.12,100
9.0,602.97,100
9.5,602.83,100
10.0,602.7,100
10.5,602.64,100
11.0,602.63,100
11.5,602.63,100
12.0,602.56,100
12.5,602.56,100
13.0,602.56,100
13.5,602.49,100
14.0,602.49,100
14.5,602.47,100
15.0,602.29,100
15.5,602.29,100
16.0,602.27,100
16.5,602.05,100
17.0,602.01,100
17.5,602.01,100
18.0,601.84,100
18.5,601.79,100
19.0,601.79,100
19.5,601.77,100
20.0,601.74,100
20.5,601.62,100
21.0,601.56,100
21.5,601.51,100
22.0,601.51,100
22.5,601.51,100
23.0,601.51,100
23.5,601.51,100
24.0,601.51,100
24.5,601.46,100
25.0,601.46,100
25.5,601.42,100
26.0,601.42,100
26.5,601.42,100
27.0,601.34,100
27.5,601.33,100
28.0,601.33,100
28.5,601.33,100
29.0,601.33,100
29.5,601.28,100
30.0,601.24,100
