alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0,0,0,0,627,17377.19,2113209416,168825085.5,E100_1000.3_r100_lk_dr_dest1_rep0_alpha2_ite20.res
4,100,0,0,0,0,627,17405.15,2116025824,169080440,E100_1000.3_r100_lk_dr_dest1_rep0_alpha4_ite20.res
6,100,0,0,0,0,627,13380.56,2100078978,165135886.1,E100_1000.3_r100_lk_dr_dest1_rep0_alpha6_ite20.res
8,100,0,0,0,0,627,13361.04,2108950214,163730059.2,E100_1000.3_r100_lk_dr_dest1_rep0_alpha8_ite20.res
10,100,0,0,0,0,627,12308.54,2100282256,166666938.3,E100_1000.3_r100_lk_dr_dest1_rep0_alpha10_ite20.res
12,100,0,0,0,0,627,11442,2144547522,162697066,E100_1000.3_r100_lk_dr_dest1_rep0_alpha12_ite20.res
14,100,0,0,0,0,627,11108.75,2152228581,162863807.5,E100_1000.3_r100_lk_dr_dest1_rep0_alpha14_ite20.res
16,100,0,0,0,0,627,10428.05,2182305824,160191744.2,E100_1000.3_r100_lk_dr_dest1_rep0_alpha16_ite20.res
18,100,0,0,0,0,627,10281.08,2211226405,158984279,E100_1000.3_r100_lk_dr_dest1_rep0_alpha18_ite20.res
20,100,0,0,0,0,627,9915.92,2219246372,157558033.5,E100_1000.3_r100_lk_dr_dest1_rep0_alpha20_ite20.res
22,100,0,0,0,0,627,9565.03,2248855475,155258147.9,E100_1000.3_r100_lk_dr_dest1_rep0_alpha22_ite20.res
24,100,0,0,0,0,627,9274.43,2277191997,153218626.4,E100_1000.3_r100_lk_dr_dest1_rep0_alpha24_ite20.res
