alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,2.34729061,0.369458,5.295567,0.9215605544,831.06,14807.05,1844353864,41243483.2,E100_1000.3_r50_lk_dr_dest1_rep0_alpha2_ite10.res
4,100,1.13300487,0.369458,2.586207,0.7727647689,821.2,11218.45,1719578024,43256857.04,E100_1000.3_r50_lk_dr_dest1_rep0_alpha4_ite10.res
6,100,0.67857135,0.369458,2.093596,0.5729760832,817.51,10013.17,1752396585,42711239.25,E100_1000.3_r50_lk_dr_dest1_rep0_alpha6_ite10.res
8,100,0.91256156,0.369458,2.463054,0.6784066279,819.41,8979.59,1719232569,43627318.18,E100_1000.3_r50_lk_dr_dest1_rep0_alpha8_ite10.res
10,100,1.14778327,0.369458,2.586207,0.6884457525,821.32,8484.01,1736789831,43289955.44,E100_1000.3_r50_lk_dr_dest1_rep0_alpha10_ite10.res
12,100,1.46798032,0.369458,2.339901,0.6593007424,823.92,7867.12,1738207408,43169348.63,E100_1000.3_r50_lk_dr_dest1_rep0_alpha12_ite10.res
14,100,1.68226607,0.369458,2.463054,0.535587312,825.66,7485.49,1757008296,42564053.77,E100_1000.3_r50_lk_dr_dest1_rep0_alpha14_ite10.res
16,100,1.7660099,0.369458,2.586207,0.5928771599,826.34,7209.39,1781180819,42004855.91,E100_1000.3_r50_lk_dr_dest1_rep0_alpha16_ite10.res
18,100,1.88669953,0.492611,2.586207,0.5045572602,827.32,7023.55,1812900538,41211077.63,E100_1000.3_r50_lk_dr_dest1_rep0_alpha18_ite10.res
20,100,1.93103448,0.369458,2.70936,0.5279993691,827.68,6890.88,1837186610,40690076.17,E100_1000.3_r50_lk_dr_dest1_rep0_alpha20_ite10.res
22,100,2.01477828,0.369458,2.70936,0.4747211193,828.36,6685.81,1860824131,40018599.46,E100_1000.3_r50_lk_dr_dest1_rep0_alpha22_ite10.res
24,100,2.05911332,0.492611,2.586207,0.4003366895,828.72,6523.04,1875719624,39539655.2,E100_1000.3_r50_lk_dr_dest1_rep0_alpha24_ite10.res
