time_sec,mean_best_value,valid_runs
0.5,632.68,100
1.0,630.3,100
1.5,628.79,100
2.0,627.66,100
2.5,627.43,100
3.0,627.17,100
3.5,627.05,100
4.0,627,100
4.5,627,100
5.0,627,100
5.5,627,100
6.0,627,100
6.5,627,100
7.0,627,100
7.5,627,100
8.0,627,100
8.5,627,100
9.0,627,100
9.5,627,100
10.0,627,100
10.5,627,100
11.0,627,100
11.5,627,100
12.0,627,100
12.5,627,100
13.0,627,100
13.5,627,100
14.0,627,100
14.5,627,100
15.0,627,100
15.5,627,100
16.0,627,100
16.5,627,100
17.0,627,100
17.5,627,100
18.0,627,100
18.5,627,100
19.0,627,100
19.5,627,100
20.0,627,100
