tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
1,1,100,5.57207205,1.914414,10.923423,1.7446957,937.48,9005.24,2212989421,49117718.01
1,2,100,5.30743244,1.351351,10.585586,1.719936922,935.13,8626.69,2128102354,50165329.98
1,3,100,5.14301807,1.351351,10.585586,1.753160787,933.67,9284.63,2283756022,48637315.23
1,4,100,5.13063064,1.351351,10.585586,1.741891712,933.56,9759,2413738523,48424949.99
1,5,100,5.05855859,1.351351,10.585586,1.652247152,932.92,10284.85,2556384822,46733221
1,6,100,4.93243249,1.351351,10.585586,1.659543544,931.8,10980.94,2738895307,45536841.92
1,7,100,4.87162167,1.351351,10.585586,1.672738174,931.26,11499.27,2875416433,44306728.75
1,8,100,4.85360365,1.351351,8.896396,1.632500396,931.1,12194.89,3050884669,42107849.25
1,9,100,4.847973,1.351351,8.896396,1.682264667,931.05,13033.17,3259513983,41030318.47
1,10,100,4.86036042,1.351351,8.896396,1.589581429,931.16,13971.57,3484587347,38935488.75
1,11,100,4.86936942,1.351351,9.009009,1.659630016,931.24,14756.89,3666931446,37103299.59
1,12,100,4.92342347,1.351351,9.009009,1.636464434,931.72,15828.09,3906681717,35013347.78
1,13,100,4.97072079,1.351351,9.572072,1.644190878,932.14,16459.64,4029382484,34123120.4
1,14,100,5.03378385,1.351351,8.896396,1.608788155,932.7,17457.49,4237201318,32439862.22
1,15,100,5.06418925,1.351351,9.009009,1.577100942,932.97,18167.51,4358726113,31185140.69
2,1,100,5.0045046,2.027027,10.585586,1.638986089,932.44,8643.32,2083643832,52716638.61
2,2,100,4.97747751,1.351351,10.585586,1.705603218,932.2,9322.83,2260912600,50297659.05
2,3,100,4.79842342,1.351351,10.585586,1.581354538,930.61,9611.23,2341769496,51392573.27
2,4,100,4.68468472,1.351351,10.585586,1.628690288,929.6,10556.2,2592992523,49714269.4
2,5,100,4.60472975,1.351351,10.585586,1.567114616,928.89,11284.91,2781774785,46560016.43
2,6,100,4.55292796,1.351351,9.346847,1.562559903,928.43,11991.01,2967168821,44551186.85
2,7,100,4.46959459,1.351351,8.783784,1.501901981,927.69,12949.38,3208764417,40964494.4
2,8,100,4.50563067,1.351351,9.346847,1.486108551,928.01,13423.08,3323351555,39569706.62
2,9,100,4.55180184,1.351351,9.346847,1.478389891,928.42,14200.01,3507913581,37102127.32
2,10,100,4.55405405,1.351351,9.346847,1.472846259,928.44,14910.59,3669543285,36677647.75
2,11,100,4.61486492,1.351351,8.783784,1.480969664,928.98,15642.18,3829696856,34612670.5
2,12,100,4.69819823,1.351351,9.346847,1.480199695,929.72,15988.51,3897148478,34113387.12
2,13,100,4.66779282,1.351351,8.783784,1.43817585,929.45,16709.16,4040277950,32882312.63
2,14,100,4.80067568,1.351351,9.121622,1.531877345,930.63,17483.05,4187112923,31509340.16
2,15,100,4.82770271,1.351351,9.346847,1.519282433,930.87,18025.64,4278158156,30072719.45
3,1,100,4.77027027,1.351351,10.585586,1.692751142,930.36,8437.04,1991498326,56970903.1
3,2,100,4.56756756,1.351351,10.585586,1.627928861,928.56,9054.28,2147412795,53015484.63
3,3,100,4.606982,1.351351,10.585586,1.70846187,928.91,9367.29,2254689686,53414796.25
3,4,100,4.41554053,1.351351,9.234234,1.452879004,927.21,10246.99,2479100716,49815098.28
3,5,100,4.29279285,1.351351,10.585586,1.466916757,926.12,11092.71,2706879264,47326314.49
3,6,100,4.20945945,1.351351,8.671171,1.564651018,925.38,11938.86,2926076849,44477896.45
3,7,100,4.30743249,1.351351,9.572072,1.483769054,926.25,12528.38,3074989260,42372068.83
3,8,100,4.3400901,1.351351,9.346847,1.542856312,926.54,13183.68,3237585800,40251778.55
3,9,100,4.42229732,1.238739,9.90991,1.543556426,927.27,13954.13,3422535475,37890717.15
3,10,100,4.4774775,1.351351,9.459459,1.484005987,927.76,14431.37,3526967946,36697151.59
3,11,100,4.41891891,1.351351,9.684685,1.412812002,927.24,15072.51,3672226938,36228348.99
3,12,100,4.54954957,1.351351,9.234234,1.473340181,928.4,15549.98,3766834780,34536863.2
3,13,100,4.615991,1.351351,9.346847,1.484038443,928.99,16115.89,3883054143,33657210.54
