time_sec,mean_best_value,valid_runs
0.5,553.11,100
1.0,548.36,100
1.5,546.66,100
2.0,545.22,100
2.5,544.62,100
3.0,544.25,100
3.5,544.14,100
4.0,544.12,100
4.5,543.56,100
5.0,543.48,100
5.5,543.25,100
6.0,543.08,100
6.5,542.93,100
7.0,542.93,100
7.5,542.91,100
8.0,542.91,100
8.5,542.91,100
9.0,542.91,100
9.5,542.91,100
10.0,542.91,100
10.5,542.88,100
11.0,542.87,100
11.5,542.86,100
12.0,542.86,100
12.5,542.86,100
13.0,542.86,100
13.5,542.86,100
14.0,542.86,100
14.5,542.83,100
15.0,542.81,100
15.5,542.81,100
16.0,542.81,100
16.5,542.81,100
17.0,542.81,100
17.5,542.81,100
18.0,542.81,100
18.5,542.81,100
19.0,542.81,100
19.5,542.81,100
20.0,542.75,100
