tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2.60398503,2.53051056,2.44582812,2.39726025,2.33623908,2.29016187,2.23661268,2.27646324,2.31382314,2.28891654,2.37484431,2.4034869,2.42963883,2.4159402,2.47447071
2,2.48816934,2.43088416,2.30012451,2.25155664,2.17434618,2.18181816,2.15815689,2.16313821,2.24906598,2.22166872,2.21295141,2.30884182,2.34993771,2.30136984,2.37608964
3,2.27023659,2.27646324,2.18181816,2.08343709,2.05354917,2.11207968,2.15068491,2.17808217,2.12702364,2.15193024,2.22540471,2.24283933,2.27023659,2.33997507,2.34620172
4,2.19551679,2.15193024,1.99003734,2.01867993,1.97260272,1.99501866,2.06849313,2.0797011,2.17310085,2.15940222,2.23287669,2.25031131,2.32503111,2.32503111,2.33623908
5,2.08717308,1.91407221,1.76338728,1.79701119,1.90410957,2.04483186,2.04981318,2.01618927,2.04109587,2.11332501,2.18929014,2.25529263,2.22789537,2.28642588,2.33001243
6,1.90286424,1.75466997,1.78704855,1.77085926,1.82316312,1.8555417,1.89041094,1.99999998,1.99999998,1.99377333,2.19800745,2.20672476,2.2665006,2.28767121,2.3163138
7,1.83561642,1.68991281,1.75093398,1.68866748,1.70112078,1.81070982,1.85803236,1.92652551,1.97384805,2.05105851,2.1668742,2.20797009,2.22042339,2.26151928,2.34744705
8,1.73599002,1.53300123,1.61394768,1.67372352,1.71108342,1.77334992,1.7808219,1.88293896,1.96264008,2.0298879,2.08343709,2.17808217,2.2291407,2.29016187,2.31257781
9,1.71357408,1.55915316,1.49564133,1.68742215,1.61519301,1.743462,1.81569114,1.79576586,1.94022414,2.05105851,2.09838105,2.1295143,2.19925278,2.2914072,2.33499375
10,1.57783311,1.54794519,1.53549189,1.46699874,1.63511829,1.60149438,1.75716063,1.87422165,1.82814444,1.95267744,2.0672478,2.13574095,2.21295141,2.20174344,2.3038605
11,1.66127022,1.41843087,1.42714818,1.62889164,1.5566625,1.63760895,1.73723535,1.70236611,1.76338728,1.90286424,2.00124531,2.01992526,2.11457034,2.2166874,2.16313821
12,1.63636362,1.39103361,1.42590285,1.40473224,1.42590285,1.67123286,1.60273971,1.7310087,1.74221667,1.87297632,1.82067246,2.03860521,2.02117059,2.10336237,2.21295141
13,1.50186798,1.37608965,1.38605229,1.38480696,1.40846823,1.55292651,1.62141966,1.62889164,1.75217931,1.85927769,1.78829388,1.91033622,2.09464506,2.09589039,2.12204232
14,1.53673722,1.38605229,1.32627645,1.27646325,1.45454544,1.44956412,1.52677458,1.62889164,1.72478205,1.62017433,1.71980073,1.87546698,1.93150683,1.91656287,1.98381069
15,1.60024905,1.42714818,1.33748442,1.49066001,1.32876711,1.52552925,1.53424656,1.57534245,1.65753423,1.78580322,1.75217931,1.95018678,1.88293896,1.93773348,2.0672478
16,1.54545453,1.38107097,1.26400995,1.33997508,1.39850559,1.41344955,1.51432128,1.70734743,1.59153174,1.6313823,1.73848068,1.81195515,2.0174346,2.02366125,1.99875465
17,1.52552925,1.38605229,1.47696138,1.33872975,1.31382315,1.38107097,1.50435864,1.53549189,1.61643834,1.72104606,1.66500621,1.86550434,1.90784556,1.9800747,2.06475714
18,1.54047321,1.35616437,1.34620173,1.37608965,1.39103361,1.39352427,1.47073473,1.55915316,1.57285179,1.6313823,1.88169363,1.88916561,2.00373597,2.04856785,2.08841841
19,1.6064757,1.35367371,1.45080945,1.27521792,1.45828143,1.36488168,1.52801991,1.48941468,1.69613946,1.78953921,1.89539226,1.97384805,2.04358653,2.04483186,2.07222912
20,1.56662514,1.37608965,1.42714818,1.33748442,1.4072229,1.36488168,1.56164382,1.51307595,1.77459525,1.77210459,1.87173099,2.02241592,2.01369861,1.96388541,2.07845577
21,1.61394768,1.35242838,1.3449564,1.32254046,1.34869239,1.50560397,1.63636362,1.68866748,1.76338728,1.93524282,1.85056038,1.94520546,2.0298879,2.13947694,2.0049813
22,1.56413448,1.36861767,1.34620173,1.42092153,1.38854295,1.40099625,1.5940224,1.63262763,1.73599002,1.867995,1.99626399,1.95018678,2.05728516,1.99128267,2.22540471
23,1.56288915,1.54171854,1.38107097,1.43711082,1.57036113,1.53798255,1.73474469,1.79825652,1.84557906,1.92278952,1.95392277,2.12577831,1.992528,2.15566623,2.16064755
24,1.57036113,1.3823163,1.29638853,1.41594021,1.42839351,1.51183062,1.59526773,1.70361144,1.93150683,1.94894145,2.02117059,1.97260272,2.06849313,2.07222912,2.1668742
25,1.65877956,1.51058529,1.5193026,1.53549189,1.54919052,1.65877956,1.73225403,1.90286424,1.80323784,1.96388541,2.04856785,1.95267744,2.05230384,2.15317557,2.27397258
26,1.63013697,1.47073473,1.42465752,1.64508093,1.58779575,1.65877956,1.78206723,1.88792028,1.92278952,2.03362389,2.14819425,2.06351181,2.05853049,2.1668742,2.24657532
27,1.57783311,1.49813199,1.57907844,1.53549189,1.618929,1.69738479,1.76338728,1.89165627,1.88542962,2.02615191,2.01120795,2.15566623,2.27272725,2.15815689,2.28393522
28,1.72727271,1.60896636,1.59900372,1.59651306,1.62017433,1.79825652,1.86924033,2.00373597,1.96388541,2.01618927,2.18679948,2.16936486,2.1419676,2.26774593,2.26276461
29,1.73723535,1.54171854,1.70983809,1.66625154,1.77957657,1.70859276,1.96388541,2.00124531,2.12328765,2.12079699,2.23287669,2.23910334,2.1917808,2.34246573,2.3038605
30,1.7932752,1.7061021,1.72229139,1.71232875,1.79576586,1.87297632,1.93524282,2.04358653,2.23287669,2.20921542,2.17559151,2.38605228,2.44209213,2.28268989,2.42341218
