alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.03424659,0,0.856164,0.1355081814,584.2,10521.19,4153301925,168413810.5,E150_1000.2_r100_lk_dr_dest1_rep1_alpha2_ite30.res
4,100,0.0291096,0,0.856164,0.1089923192,584.17,10425.31,4142324842,168444913.8,E150_1000.2_r100_lk_dr_dest1_rep1_alpha4_ite30.res
6,100,0,0,0,0,584,9424.35,4786331608,144329257.2,E150_1000.2_r100_lk_dr_dest1_rep1_alpha6_ite30.res
8,100,0,0,0,0,584,9238.76,4896659615,142598091.9,E150_1000.2_r100_lk_dr_dest1_rep1_alpha8_ite30.res
10,100,0,0,0,0,584,8755.73,5352804301,129822109.7,E150_1000.2_r100_lk_dr_dest1_rep1_alpha10_ite30.res
12,100,0,0,0,0,584,8309.3,5500947751,126518888.7,E150_1000.2_r100_lk_dr_dest1_rep1_alpha12_ite30.res
14,100,0,0,0,0,584,7895.69,5700016461,120957087.4,E150_1000.2_r100_lk_dr_dest1_rep1_alpha14_ite30.res
16,100,0,0,0,0,584,7497.72,5763910424,118281118.2,E150_1000.2_r100_lk_dr_dest1_rep1_alpha16_ite30.res
18,100,0,0,0,0,584,7113.84,5870943041,116113190.1,E150_1000.2_r100_lk_dr_dest1_rep1_alpha18_ite30.res
20,100,0,0,0,0,584,6868.25,5918483911,115043454.5,E150_1000.2_r100_lk_dr_dest1_rep1_alpha20_ite30.res
22,100,0.00171233,0,0.171233,0.0171233,584.01,6533.63,5977544404,113462587,E150_1000.2_r100_lk_dr_dest1_rep1_alpha22_ite30.res
24,100,0,0,0,0,584,6314.37,6010908026,112795537.2,E150_1000.2_r100_lk_dr_dest1_rep1_alpha24_ite30.res
