alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.09760281,0,0.684932,0.1742420552,584.57,9524.33,3964902554,168099311.8,E150_1000.2_r100_lk_dr_dest0_rep0_alpha2_ite30.res
4,100,0.06678086,0,1.369863,0.1899221093,584.39,9465.55,3961189670,168680157.8,E150_1000.2_r100_lk_dr_dest0_rep0_alpha4_ite30.res
6,100,0.01883563,0,0.513699,0.072586832,584.11,7509.1,4303204351,160320033.9,E150_1000.2_r100_lk_dr_dest0_rep0_alpha6_ite30.res
8,100,0,0,0,0,584,7427.66,4296701748,159816703.5,E150_1000.2_r100_lk_dr_dest0_rep0_alpha8_ite30.res
10,100,0.00856165,0,0.513699,0.05642532905,584.05,6494.7,4471509177,155918721.1,E150_1000.2_r100_lk_dr_dest0_rep0_alpha10_ite30.res
12,100,0,0,0,0,584,6344.21,4514845319,153886858.4,E150_1000.2_r100_lk_dr_dest0_rep0_alpha12_ite30.res
14,100,0,0,0,0,584,5804.86,4594727099,150980492.3,E150_1000.2_r100_lk_dr_dest0_rep0_alpha14_ite30.res
16,100,0.00684932,0,0.171233,0.03372372044,584.04,5661.17,4656163067,149758783.9,E150_1000.2_r100_lk_dr_dest0_rep0_alpha16_ite30.res
18,100,0.00342466,0,0.171233,0.02409338963,584.02,5335.86,4678797962,148274964.3,E150_1000.2_r100_lk_dr_dest0_rep0_alpha18_ite30.res
20,100,0,0,0,0,584,5170.5,4720812367,146580150.3,E150_1000.2_r100_lk_dr_dest0_rep0_alpha20_ite30.res
22,100,0,0,0,0,584,4925.64,4765917838,144964420.1,E150_1000.2_r100_lk_dr_dest0_rep0_alpha22_ite30.res
24,100,0.00513699,0,0.342466,0.03813384652,584.03,4793.36,4786279940,144199407.3,E150_1000.2_r100_lk_dr_dest0_rep0_alpha24_ite30.res
