alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,2.01866089,0.439078,5.049396,0.7738153118,929.39,6570.57,2747118134,50000544.28,E150_1000.2_r50_lk_dr_dest0_rep0_alpha2_ite15.res
4,100,1.75850718,0,4.17124,0.6541630528,927.02,5270.36,2812891970,49174672.91,E150_1000.2_r50_lk_dr_dest0_rep0_alpha4_ite15.res
6,100,1.75301871,0.548847,3.951701,0.5333165217,926.97,4536.07,2873730017,47790979.62,E150_1000.2_r50_lk_dr_dest0_rep0_alpha6_ite15.res
8,100,1.66300773,0,3.732162,0.5643456467,926.15,4071.35,2964622153,46421973.41,E150_1000.2_r50_lk_dr_dest0_rep0_alpha8_ite15.res
10,100,1.72886941,0.329308,3.402854,0.5382957865,926.75,3708.81,3026842996,45346582.99,E150_1000.2_r50_lk_dr_dest0_rep0_alpha10_ite15.res
12,100,1.66959388,0.548847,3.073546,0.4479406301,926.21,3456.28,3096795186,44052556.9,E150_1000.2_r50_lk_dr_dest0_rep0_alpha12_ite15.res
14,100,1.82656428,0.658617,3.512623,0.5543680465,927.64,3220.5,3161395257,42826061.74,E150_1000.2_r50_lk_dr_dest0_rep0_alpha14_ite15.res
16,100,1.79802422,0.439078,3.622393,0.6153938452,927.38,3089.54,3212459749,41950118.04,E150_1000.2_r50_lk_dr_dest0_rep0_alpha16_ite15.res
18,100,1.89571901,0.329308,3.732162,0.5537826495,928.27,2942.91,3261699717,41071347.31,E150_1000.2_r50_lk_dr_dest0_rep0_alpha18_ite15.res
20,100,1.95609224,0,4.061471,0.6069502456,928.82,2808.48,3292571433,40433310.11,E150_1000.2_r50_lk_dr_dest0_rep0_alpha20_ite15.res
22,100,2.1207465,0.878156,3.402854,0.5251350667,930.32,2704.41,3326217040,39767248.03,E150_1000.2_r50_lk_dr_dest0_rep0_alpha22_ite15.res
24,100,2.30845233,0.768386,3.841932,0.5880209334,932.03,2612.48,3358100784,39089833.46,E150_1000.2_r50_lk_dr_dest0_rep0_alpha24_ite15.res
