alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,1.90559828,0,5.049396,0.8149718236,928.36,6537.88,2745826139,50531741.67,E150_1000.2_r50_lk_dr_dest1_rep0_alpha2_ite15.res
4,100,1.57958292,0,3.622393,0.6985940365,925.39,5252.97,2706804775,51064529.98,E150_1000.2_r50_lk_dr_dest1_rep0_alpha4_ite15.res
6,100,1.86608129,0,3.732162,0.5953326975,928,4462.47,2714611284,51246273.08,E150_1000.2_r50_lk_dr_dest1_rep0_alpha6_ite15.res
8,100,2.22063671,0.548847,3.951701,0.6855732838,931.23,3951.39,2752118745,50287654.79,E150_1000.2_r50_lk_dr_dest1_rep0_alpha8_ite15.res
10,100,2.24368833,0.109769,3.951701,0.6497460961,931.44,3617.02,2815193767,48919573.95,E150_1000.2_r50_lk_dr_dest1_rep0_alpha10_ite15.res
12,100,2.41492876,1.097695,3.951701,0.606271975,933,3382.7,2876982657,47565771.97,E150_1000.2_r50_lk_dr_dest1_rep0_alpha12_ite15.res
14,100,2.72008786,1.207464,4.17124,0.5620126545,935.78,3187.82,2939325668,46023597.53,E150_1000.2_r50_lk_dr_dest1_rep0_alpha14_ite15.res
16,100,2.87486289,1.207464,4.061471,0.6096142836,937.19,3071.71,2992731494,44945737.97,E150_1000.2_r50_lk_dr_dest1_rep0_alpha16_ite15.res
18,100,3.0691548,1.427003,4.390779,0.6348902219,938.96,2953.56,3049124812,43642743.18,E150_1000.2_r50_lk_dr_dest1_rep0_alpha18_ite15.res
20,100,3.27113062,1.097695,4.610318,0.5850211672,940.8,2862.65,3096837420,42618872.75,E150_1000.2_r50_lk_dr_dest1_rep0_alpha20_ite15.res
22,100,3.32821074,1.756312,4.610318,0.6187663898,941.32,2775.33,3141523294,41707453.37,E150_1000.2_r50_lk_dr_dest1_rep0_alpha22_ite15.res
24,100,3.49066957,1.975851,4.610318,0.5555697117,942.8,2704.25,3179694293,40912856.09,E150_1000.2_r50_lk_dr_dest1_rep0_alpha24_ite15.res
