time_sec,mean_best_value,valid_runs
0.5,593.36,100
1.0,588.69,100
1.5,587.34,100
2.0,585.86,100
2.5,585.54,100
3.0,585.13,100
3.5,584.72,100
4.0,584.63,100
4.5,584.4,100
5.0,584.29,100
5.5,584.2,100
6.0,584.2,100
6.5,584.19,100
7.0,584.05,100
7.5,584.05,100
8.0,584.03,100
8.5,584.01,100
9.0,584,100
9.5,584,100
10.0,584,100
10.5,584,100
11.0,584,100
11.5,584,100
12.0,584,100
12.5,584,100
13.0,584,100
13.5,584,100
14.0,584,100
14.5,584,100
15.0,584,100
15.5,584,100
16.0,584,100
16.5,584,100
17.0,584,100
17.5,584,100
18.0,584,100
18.5,584,100
19.0,584,100
19.5,584,100
20.0,584,100
20.5,584,100
21.0,584,100
21.5,584,100
22.0,584,100
22.5,584,100
23.0,584,100
23.5,584,100
24.0,584,100
24.5,584,100
25.0,584,100
25.5,584,100
26.0,584,100
26.5,584,100
27.0,584,100
27.5,584,100
28.0,584,100
28.5,584,100
29.0,584,100
29.5,584,100
30.0,584,100
