alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.11301377,0,0.856164,0.1792109414,584.66,9575.86,3959126027,168482381.5,E150_1000.2_r100_lk_dr_dest1_rep0_alpha2_ite30.res
4,100,0.10616444,0,0.856164,0.191297211,584.62,9538.4,3970614488,168589448.7,E150_1000.2_r100_lk_dr_dest1_rep0_alpha4_ite30.res
6,100,0,0,0,0,584,7692.73,4106001040,159812761.6,E150_1000.2_r100_lk_dr_dest1_rep0_alpha6_ite30.res
8,100,0,0,0,0,584,7609.89,4100126766,159600516.2,E150_1000.2_r100_lk_dr_dest1_rep0_alpha8_ite30.res
10,100,0,0,0,0,584,6648.85,4191478570,156923661.3,E150_1000.2_r100_lk_dr_dest1_rep0_alpha10_ite30.res
12,100,0,0,0,0,584,6487.82,4222345327,154443598.5,E150_1000.2_r100_lk_dr_dest1_rep0_alpha12_ite30.res
14,100,0.00342466,0,0.342466,0.0342466,584.02,5914.81,4240498788,153319365.3,E150_1000.2_r100_lk_dr_dest1_rep0_alpha14_ite30.res
16,100,0,0,0,0,584,5751.28,4279839867,151175791.9,E150_1000.2_r100_lk_dr_dest1_rep0_alpha16_ite30.res
18,100,0.00171233,0,0.171233,0.0171233,584.01,5440.75,4299896176,150038876.1,E150_1000.2_r100_lk_dr_dest1_rep0_alpha18_ite30.res
20,100,0,0,0,0,584,5274.43,4328453833,148534568.2,E150_1000.2_r100_lk_dr_dest1_rep0_alpha20_ite30.res
22,100,0.00171233,0,0.171233,0.0171233,584.01,5028.42,4361296961,146494323.1,E150_1000.2_r100_lk_dr_dest1_rep0_alpha22_ite30.res
24,100,0.00513699,0,0.513699,0.0513699,584.03,4916.66,4397044180,144912610.4,E150_1000.2_r100_lk_dr_dest1_rep0_alpha24_ite30.res
