alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,1.99560925,0.219539,4.829857,0.7350127264,929.18,6926.1,2922661500,50480315.43,E150_1000.2_r50_lk_dr_dest1_rep1_alpha2_ite15.res
4,100,1.78375416,0,3.951701,0.6461875967,927.25,6537.99,3379944613,40998862.37,E150_1000.2_r50_lk_dr_dest1_rep1_alpha4_ite15.res
6,100,2.26564219,0.768386,4.17124,0.5452922355,931.64,6200.28,3658012267,35105550.37,E150_1000.2_r50_lk_dr_dest1_rep1_alpha6_ite15.res
8,100,2.40504943,0.548847,3.622393,0.5698656221,932.91,5631.43,3739371176,33537241.68,E150_1000.2_r50_lk_dr_dest1_rep1_alpha8_ite15.res
10,100,2.54335905,1.317234,4.061471,0.5540462943,934.17,5111.41,3780762463,32953660.42,E150_1000.2_r50_lk_dr_dest1_rep1_alpha10_ite15.res
12,100,2.82546662,1.536773,4.17124,0.5826488802,936.74,4660.34,3808114701,32563975.19,E150_1000.2_r50_lk_dr_dest1_rep1_alpha12_ite15.res
14,100,3.10428103,1.536773,4.610318,0.6921501668,939.28,4346.67,3842795940,32267246.5,E150_1000.2_r50_lk_dr_dest1_rep1_alpha14_ite15.res
16,100,3.48518109,1.536773,4.939627,0.6202389357,942.75,4076.51,3870302838,31829055.09,E150_1000.2_r50_lk_dr_dest1_rep1_alpha16_ite15.res
18,100,3.59714593,1.975851,4.939627,0.6271626336,943.77,3864.6,3901739809,31564658.19,E150_1000.2_r50_lk_dr_dest1_rep1_alpha18_ite15.res
20,100,3.89132809,2.19539,5.268935,0.5900704893,946.45,3691.61,3923587486,31434600.73,E150_1000.2_r50_lk_dr_dest1_rep1_alpha20_ite15.res
22,100,4.16575181,3.073546,5.598244,0.5549944571,948.95,3533.68,3952624378,31226207.94,E150_1000.2_r50_lk_dr_dest1_rep1_alpha22_ite15.res
24,100,4.20965963,2.524698,5.378705,0.5608843537,949.35,3400.52,3974793910,31021800.1,E150_1000.2_r50_lk_dr_dest1_rep1_alpha24_ite15.res
