tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,19.897959,17.346939,16.666667,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939,17.346939
2,16.666667,16.496599,16.496599,16.836735,16.156463,16.156463,16.156463,15.986395,16.156463,15.986395,15.986395,15.986395,15.986395,15.986395,15.986395
3,16.666667,16.666667,15.986395,15.986395,16.836735,17.517007,16.326531,15.986395,17.006803,16.666667,15.986395,15.986395,15.986395,17.006803,17.006803
4,12.414966,11.22449,11.564626,14.965986,13.265306,13.945578,11.734694,15.986395,15.136054,12.92517,13.265306,12.92517,17.687075,14.795918,17.687075
5,11.054422,8.673469,17.006803,11.22449,17.006803,12.414966,12.92517,12.92517,12.92517,12.07483,13.265306,14.115646,16.496599,12.755102,12.92517
6,8.333333,6.122449,7.993197,11.22449,11.22449,10.034014,11.734694,11.22449,12.92517,12.755102,11.734694,12.755102,12.755102,12.755102,14.62585
7,5.612245,5.442177,6.122449,8.673469,8.843537,11.904762,11.22449,12.92517,9.693878,11.22449,12.585034,11.904762,12.755102,12.585034,12.755102
8,7.482993,5.612245,6.632653,9.013605,7.993197,8.673469,11.22449,9.693878,10.37415,12.755102,12.755102,11.22449,11.22449,11.22449,12.755102
9,5.102041,7.653061,5.782313,5.102041,9.353741,7.653061,8.673469,10.034014,10.034014,10.884354,12.585034,11.22449,11.394558,12.755102,10.884354
10,5.272109,5.102041,5.442177,5.952381,7.993197,9.353741,9.353741,8.843537,9.183673,10.544218,10.37415,9.693878,11.734694,12.755102,11.904762
11,4.251701,5.782313,5.782313,7.823129,7.312925,8.333333,9.693878,7.993197,10.37415,10.714286,9.693878,10.034014,9.013605,12.755102,12.755102
12,5.782313,6.122449,5.952381,5.102041,6.122449,7.312925,8.843537,7.482993,9.353741,10.714286,9.863946,10.714286,11.564626,11.564626,12.755102
13,4.421769,5.102041,5.272109,7.312925,5.102041,6.802721,6.632653,5.782313,10.204082,10.884354,10.544218,10.204082,11.564626,9.693878,12.755102
14,3.061224,3.401361,4.251701,5.952381,5.102041,8.333333,8.163265,7.823129,7.823129,9.013605,9.863946,9.353741,10.714286,10.884354,10.37415
15,2.380952,10.714286,5.612245,4.251701,5.272109,6.802721,6.292517,6.802721,7.482993,9.353741,9.693878,8.503401,8.843537,9.353741,10.034014
16,3.061224,4.591837,4.251701,4.251701,5.272109,6.972789,5.612245,7.142857,7.312925,7.482993,7.993197,9.863946,8.673469,9.52381,11.564626
17,3.061224,5.102041,3.741497,5.442177,8.673469,5.612245,5.102041,6.462585,6.292517,7.142857,8.843537,8.843537,9.863946,9.353741,10.034014
18,5.612245,5.782313,4.761905,4.251701,6.632653,4.931973,9.52381,6.802721,8.503401,7.823129,8.503401,10.37415,10.034014,9.863946,9.693878
19,4.251701,4.591837,3.741497,4.251701,4.761905,5.782313,6.462585,5.612245,6.972789,8.503401,8.333333,9.183673,9.353741,9.693878,10.884354
20,3.061224,4.931973,3.571429,4.251701,4.251701,5.442177,6.122449,6.292517,8.843537,8.333333,8.843537,10.034014,8.843537,9.693878,9.863946
21,2.721088,2.891156,3.741497,5.952381,5.612245,6.972789,9.183673,8.503401,6.972789,8.843537,8.843537,10.37415,9.52381,9.693878,10.884354
22,4.761905,2.891156,4.251701,5.612245,5.102041,6.122449,6.802721,6.802721,6.462585,7.993197,7.993197,9.013605,8.843537,9.693878,10.714286
23,4.251701,3.061224,4.591837,4.081633,4.931973,5.782313,6.972789,7.142857,8.163265,8.673469,8.333333,9.693878,9.693878,12.755102,10.034014
24,4.251701,3.571429,4.251701,4.591837,5.952381,5.782313,5.782313,7.312925,7.823129,8.333333,8.503401,9.693878,9.693878,10.034014,10.884354
25,2.891156,3.571429,4.421769,5.102041,5.442177,5.952381,7.993197,6.632653,6.632653,9.013605,8.843537,8.333333,10.37415,9.013605,11.22449
26,4.251701,6.122449,5.272109,5.102041,5.782313,6.292517,6.972789,7.482993,8.163265,7.993197,9.013605,8.843537,10.034014,10.884354,11.734694
27,4.931973,2.721088,4.931973,5.612245,5.272109,6.462585,7.312925,7.312925,7.653061,8.333333,8.333333,9.693878,10.884354,10.884354,10.884354
28,2.380952,3.911565,4.251701,5.612245,5.102041,5.782313,7.142857,6.462585,8.333333,9.52381,8.333333,8.843537,10.714286,10.884354,10.884354
29,2.380952,4.251701,4.251701,4.931973,5.272109,6.122449,6.292517,6.972789,7.993197,9.52381,8.333333,10.37415,10.034014,11.22449,10.884354
30,2.721088,3.061224,3.911565,5.272109,5.272109,6.972789,6.972789,6.462585,8.673469,8.333333,9.52381,9.693878,10.714286,11.22449,10.034014
