time_sec,mean_best_value,valid_runs
0.5,624.89,100
1.0,619.39,100
1.5,615.01,100
2.0,612.07,100
2.5,609.6,100
3.0,607.74,100
3.5,606.03,100
4.0,604.86,100
4.5,603.69,100
5.0,602.91,100
5.5,601.43,100
6.0,601.05,100
6.5,600.42,100
7.0,599.73,100
7.5,599.43,100
8.0,599.3,100
8.5,599.24,100
9.0,598.12,100
9.5,597.5,100
10.0,597.5,100
10.5,597.34,100
11.0,596.58,100
11.5,596.48,100
12.0,596.24,100
12.5,595.75,100
13.0,595.53,100
13.5,595.34,100
14.0,595.22,100
14.5,595.02,100
15.0,594.79,100
15.5,594.56,100
16.0,594.46,100
16.5,594.46,100
17.0,594.29,100
17.5,594.29,100
18.0,594.22,100
18.5,594.05,100
19.0,594.05,100
19.5,594.05,100
20.0,593.89,100
20.5,593.89,100
21.0,593.72,100
21.5,593.62,100
22.0,593.55,100
22.5,593.55,100
23.0,593.55,100
23.5,593.42,100
24.0,593.42,100
24.5,593.34,100
25.0,593.29,100
25.5,593.13,100
26.0,593.04,100
26.5,593,100
27.0,592.85,100
27.5,592.78,100
28.0,592.69,100
28.5,592.61,100
29.0,592.42,100
29.5,592.31,100
30.0,592.31,100
