tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.005025,1.005025,1.005025,1.005025,0.879397,0.879397,1.005025,1.005025,0.879397,1.005025,1.005025,1.005025,1.005025,1.005025,1.005025
2,1.005025,1.005025,1.005025,0.879397,0.251256,0.125628,0.753769,0.879397,0.753769,1.005025,0.879397,1.005025,1.005025,1.005025,1.005025
3,0.753769,0.879397,0,0.125628,0.125628,0,0.125628,0,0.125628,0.879397,1.005025,1.005025,1.005025,1.005025,1.005025
4,0.628141,0,0,0,0.125628,0,0,0,0.879397,0.879397,0.376884,1.005025,0.879397,1.005025,1.005025
5,0,0,0,0,0,0,0,0.376884,0.251256,0.753769,0.251256,0,1.005025,0.753769,1.005025
6,0,0,0,0,0,0.376884,0,0,0,0.376884,0.628141,0.753769,1.005025,1.005025,0.879397
7,0,0,0,0,0,0,0,0.251256,0.251256,0.376884,0.502513,0.879397,0.879397,0.879397,1.005025
8,0,0,0,0,0,0.125628,0,0,0,0.376884,0.376884,1.005025,1.005025,0.879397,1.005025
9,0,0,0,0,0,0,0,0.376884,0.879397,0.125628,0.125628,1.005025,1.005025,0.628141,1.005025
10,0,0,0,0,0,0,0.376884,0.125628,0.502513,0.125628,0.628141,0.879397,0.753769,0.753769,0.628141
11,0,0,0,0,0,0,0,0.125628,0.125628,0.125628,0.502513,0.125628,0.376884,0.753769,0.753769
12,0,0,0,0,0,0,0.125628,0.125628,0,0.376884,0.502513,0.753769,0.502513,0.753769,0.879397
13,0,0,0,0,0,0.125628,0.125628,0,0.502513,0.125628,0.251256,0,0.125628,0.125628,0.376884
14,0,0,0,0.125628,0,0,0,0,0.125628,0.628141,0.125628,0.251256,0.879397,0.125628,0.502513
15,0,0,0,0,0,0.251256,0.251256,0.251256,0.125628,0.125628,0.125628,0.125628,0.502513,0.251256,0.125628
16,0,0,0,0,0.125628,0,0.125628,0.125628,0.251256,0.125628,0,0.125628,0.628141,0.502513,0.251256
17,0,0,0,0.125628,0,0.125628,0,0,0.125628,0,0,0.125628,0.125628,0.376884,0.628141
18,0,0,0,0,0,0,0,0,0,0.125628,0.125628,0.125628,0.125628,0.125628,0.251256
19,0,0,0,0,0,0,0,0,0.251256,0.125628,0.125628,0.125628,0.125628,0,0.125628
20,0,0,0,0,0.125628,0,0,0.125628,0,0.125628,0.125628,0.125628,0.125628,0.125628,0.125628
21,0,0,0,0,0,0,0,0,0.125628,0.125628,0,0.125628,0.125628,0.376884,0.125628
22,0,0,0,0,0,0,0,0,0.125628,0.125628,0.125628,0.125628,0.251256,0.125628,0.125628
23,0,0,0,0,0,0,0.125628,0,0,0.125628,0.125628,0.125628,0.125628,0.125628,0.125628
24,0,0,0,0,0,0,0,0.125628,0.125628,0,0.125628,0.125628,0.251256,0,0.251256
25,0,0,0,0,0,0,0.125628,0.125628,0.125628,0.125628,0.125628,0.125628,0.125628,0.125628,0.376884
26,0,0,0,0,0,0.125628,0,0,0.376884,0.251256,0.125628,0,0.376884,0.125628,0.376884
27,0,0,0,0,0,0,0.251256,0.125628,0.125628,0.251256,0,0,0.125628,0.125628,0.125628
28,0,0,0,0,0,0.125628,0,0,0.125628,0.125628,0.125628,0,0,0.251256,0.125628
29,0,0,0,0.125628,0,0.125628,0,0,0,0.125628,0.125628,0.251256,0.376884,0.125628,0
30,0,0,0,0,0,0,0.125628,0.502513,0,0.502513,0,0.628141,0.879397,1.005025,0.251256
