tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,5.20000005,4.79827591,4.70344835,4.5103449,4.32758627,4.30344832,4.06206899,3.99827591,3.81551729,3.89310349,3.85862074,4.17241384,3.84137933,4.13275867,4.30172419
2,3.77758621,3.74310348,3.19827593,2.78620692,2.65689657,2.27068964,2.23965519,2.64655175,2.78275863,2.80344827,3.09310347,3.19655175,3.41724142,3.4293104,3.50517245
3,2.9948276,2.75000009,2.42241379,2.26724134,2.03965519,1.8913793,2.14137928,2.47931035,2.64655173,2.81034483,2.97068966,3.09482758,3.14655174,3.24655174,3.33275866
4,1.79310344,1.81896551,1.79310343,1.62758623,1.75689653,1.7724138,2.05862066,2.17758618,2.41551728,2.57931036,2.79482758,3.04655178,3.05862073,3.16379314,3.24310349
5,0.74655179,0.77931033,0.99310341,1.21724138,1.57586213,1.67931037,1.78275862,2.25172416,2.13448278,2.68620695,2.84137938,3.08965523,3.11724144,3.29827589,3.37241386
6,0.5706897,0.55517238,0.88448275,1.07241378,1.19482764,1.4724138,1.48965518,1.94310347,2.14137936,2.45172415,2.61034481,2.8896552,3.14655175,2.98965519,3.29655176
7,0.46724148,0.55172414,0.74827586,0.94655175,1.07241377,1.38793109,1.61034484,1.87413792,2.17413798,2.65,2.68448277,3.02758624,3.14137934,3.21724142,3.37068969
8,0.28965526,0.46206906,0.69655168,0.83448273,1.1051724,1.33793107,1.56206898,1.8034483,1.9310345,2.54310343,2.68103455,2.83793107,3.06206898,3.20344831,3.15000004
9,0.17586205,0.44482755,0.63965517,0.61724134,1.01551723,1.21206901,1.38620687,1.81034487,2.07758624,2.46896552,2.48103451,2.8206897,3.08103452,3.38620695,3.41896557
10,0.286207,0.36034485,0.59310342,0.79137934,0.92241386,1.22068966,1.52241376,1.55689661,2.12586206,2.50517242,2.40000008,2.75862074,3.04137937,3.24137935,3.1655173
11,0.22931039,0.38103447,0.53793103,0.78793105,0.89827586,1.21379319,1.44655175,1.67241376,2.05344831,2.38275862,2.53448279,2.70172419,3.03620695,3.09310351,3.22413799
12,0.23793114,0.3206897,0.53103442,0.67413791,0.98965521,1.17068967,1.36206901,1.49482765,2.01896553,2.21034484,2.60344831,2.75689659,3.15344833,3.21206902,3.07068968
13,0.18965528,0.36206897,0.65172412,0.80172416,0.96551721,1.09482756,1.51206896,1.67931038,2.08793105,2.36896556,2.72586208,2.82586212,3.12413797,3.27241383,3.31034489
14,0.16896567,0.35517239,0.51379308,0.86724133,1.01379316,1.29655174,1.39310348,1.75689656,2.04655179,2.16206898,2.57758624,2.89827592,2.9706897,3.0293104,3.36551731
15,0.19655179,0.38620688,0.57068966,0.7844828,0.87241376,1.16034485,1.33965513,1.73448275,1.95344824,2.29827591,2.662069,2.9948276,2.69655176,3.27241384,3.27241386
16,0.19827598,0.425862,0.55344825,0.70517241,0.97758622,1.01034492,1.4586207,1.70517246,2.26034484,2.38275864,2.63620696,2.88275867,2.84137936,3.13965525,3.18103453
17,0.2431035,0.42758611,0.51206901,0.74482758,0.87931034,1.18620689,1.44827584,1.91551727,2.11896556,2.40000005,2.68620693,2.91034486,3.02241383,3.19137939,3.20517249
18,0.24827592,0.42068966,0.5982759,0.83448279,0.87413801,1.212069,1.70172415,1.92586209,2.40862068,2.5482759,2.87241382,3.0793104,3.21379315,3.35862074,3.39655179
19,0.26896562,0.41034474,0.65689657,0.86896552,0.91896551,1.43620691,1.44827592,1.96379318,2.45000003,2.87068964,2.91034486,3.06551729,3.162069,3.28275867,3.46206903
20,0.29310354,0.39827593,0.60689653,0.85000002,1.02931034,1.25689659,1.78448277,2.09827586,2.10517243,2.68620697,3.01551727,3.09655177,3.14482762,3.37068972,3.49827592
21,0.3000001,0.43793109,0.60517245,0.76551729,1.0275862,1.35172418,1.77413793,2.20344832,2.46206901,2.72241384,2.79310346,3.27586211,3.23965522,3.34482763,3.8051725
22,0.28275864,0.40517243,0.64827595,0.83620694,1.20689659,1.58620692,1.71379315,2.19310345,2.58965522,2.58620694,2.98275868,3.39827592,3.08793109,3.42758628,3.6413794
23,0.28275875,0.45862076,0.71206899,0.92241386,1.09827586,1.5310345,1.9172414,2.34655182,2.5465518,2.93965523,3.17931039,3.17068969,3.59137937,3.80517248,3.93103455
24,0.30517247,0.52241379,0.74310345,1.08103452,1.25689657,1.90517244,1.88448272,2.42758626,2.61551726,2.90689659,3.10517248,3.28793108,3.72068971,3.96551731,3.97586215
25,0.3982759,0.51551728,0.82931038,0.94137934,1.36724139,1.78448276,1.99655177,2.72586208,2.97068971,3.11034484,3.03965522,3.47758627,3.724138,3.9603449,4.00517249
26,0.36206902,0.61034486,0.82758624,0.97068969,1.31724141,1.89655179,2.1758621,2.5810345,2.87413797,2.80689659,3.19310349,3.50517246,3.70862074,3.66551731,3.90517248
27,0.37068962,0.59310346,0.78103447,1.07758626,1.46551727,1.9534483,2.46379312,2.63965526,3.0017242,3.13275866,3.2155173,3.46896558,3.96206903,3.81724141,4.23103456
28,0.41206896,0.56724137,0.86206904,1.25344835,1.5603448,2.07413795,2.33965521,2.7724138,2.96896559,3.17931038,3.42586216,3.60344835,4.05344833,4.20689663,4.30172421
29,0.45172413,0.69655174,0.91896556,1.40517244,1.75689655,2.08275869,2.58103449,2.72758627,3.07241385,3.24310349,3.48103456,3.78793111,3.96724143,4.14310352,4.06896559
30,0.47068966,0.74482755,0.96206901,1.42241386,1.64137932,2.35172416,2.55689662,2.91206901,3.21724141,3.30862073,3.51896557,3.88448284,3.99310352,4.22931041,4.26206905
