tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.689655,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
2,0.344828,0.344828,0,0.344828,0.344828,0.344828,0.172414,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
3,0.344828,0.344828,0.344828,0.344828,0.344828,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
4,0,0,0.344828,0,0.344828,0.344828,0.344828,0.344828,0,0.344828,0,0.344828,0.344828,0.344828,0.344828
5,0,0,0,0,0,0.344828,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
6,0,0,0,0,0,0.172414,0.172414,0.344828,0.344828,0.344828,0,0.344828,0,0.172414,0.344828
7,0,0,0,0,0,0,0,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.172414,0.344828
8,0,0,0,0,0,0,0,0.172414,0,0,0.344828,0.172414,0.172414,0,0
9,0,0,0,0,0,0,0,0.172414,0.344828,0.344828,0.172414,0.344828,0.344828,0.344828,0.344828
10,0,0,0,0,0,0,0,0,0.344828,0,0.172414,0.344828,0.344828,0.344828,0.172414
11,0,0,0,0,0,0,0,0,0.344828,0.172414,0.344828,0,0.344828,0.344828,0.344828
12,0,0,0,0,0,0,0,0,0.344828,0.344828,0,0,0.344828,0.344828,0.344828
13,0,0,0,0,0,0,0.344828,0,0,0,0.344828,0.344828,0.344828,0.344828,0.344828
14,0,0,0,0,0,0,0,0,0.172414,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
15,0,0,0,0,0,0,0,0,0.172414,0.344828,0,0.172414,0,0.344828,0.344828
16,0,0,0,0,0,0,0,0.172414,0.344828,0.344828,0.172414,0.344828,0.172414,0.344828,0.344828
17,0,0,0,0,0,0,0.172414,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
18,0,0,0,0,0,0,0,0,0.172414,0.344828,0,0,0.344828,0.344828,0.344828
19,0,0,0,0,0,0,0,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
20,0,0,0,0,0,0,0,0,0.172414,0.172414,0.344828,0.344828,0.344828,0.344828,0.344828
21,0,0,0,0,0,0,0,0.172414,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
22,0,0,0,0,0,0,0.172414,0,0,0,0,0.344828,0,0.344828,0.344828
23,0,0,0,0,0,0,0,0,0,0.344828,0.172414,0.344828,0.344828,0.344828,0.344828
24,0,0,0,0,0,0.344828,0,0,0.344828,0.344828,0,0.344828,0.344828,0.344828,0.344828
25,0,0,0,0,0,0,0,0,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
26,0,0,0,0,0,0.172414,0,0,0.172414,0.344828,0.344828,0.344828,0.344828,0.172414,0
27,0,0,0,0,0,0,0.344828,0,0,0.344828,0.344828,0.172414,0.344828,0.344828,0.344828
28,0,0,0,0,0,0,0,0.344828,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
29,0,0,0,0,0,0,0,0.172414,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
30,0,0,0,0,0,0.344828,0.172414,0,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828,0.344828
