tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276,13.448276
2,12.413793,11.034483,11.034483,9.137931,7.931034,6.896552,6.896552,7.413793,7.586207,6.896552,7.586207,9.310345,7.758621,9.310345,8.448276
3,8.793103,8.448276,7.758621,6.896552,7.586207,6.896552,7.586207,6.896552,6.896552,8.103448,7.758621,8.275862,9.310345,8.62069,9.310345
4,6.206897,9.310345,6.034483,6.034483,6.034483,4.827586,5,6.896552,6.896552,7.586207,6.896552,6.896552,7.586207,9.310345,7.241379
5,6.896552,4.482759,6.034483,6.206897,6.034483,7.068966,4.655172,6.896552,5.344828,6.896552,6.896552,7.586207,7.586207,6.896552,7.413793
6,4.310345,1.37931,6.551724,6.206897,4.655172,6.034483,6.724138,6.896552,6.896552,6.896552,6.896552,7.758621,7.758621,7.758621,8.448276
7,4.137931,1.551724,2.758621,6.206897,4.482759,6.206897,5.862069,6.896552,6.896552,6.896552,6.896552,7.586207,7.758621,7.758621,7.931034
8,3.62069,1.896552,4.482759,4.827586,4.310345,6.206897,6.724138,6.206897,4.827586,7.241379,6.896552,7.241379,7.586207,7.586207,6.896552
9,0.689655,3.448276,3.103448,2.931034,4.482759,4.482759,4.482759,4.655172,7.413793,6.896552,6.896552,6.896552,6.896552,6.896552,8.103448
10,3.448276,1.37931,2.586207,2.758621,5.172414,5.344828,4.655172,5,6.896552,6.896552,6.896552,6.896552,6.896552,7.586207,6.896552
11,1.034483,1.37931,1.724138,4.482759,2.241379,3.62069,4.310345,5.172414,5.172414,5.344828,6.896552,6.896552,6.896552,7.586207,6.896552
12,3.448276,2.068966,3.965517,2.068966,5.344828,2.931034,4.482759,4.482759,6.896552,5.344828,5.517241,6.896552,6.896552,6.896552,7.241379
13,1.896552,1.034483,4.827586,3.62069,2.758621,4.482759,4.655172,3.793103,6.896552,6.896552,6.896552,6.034483,8.448276,8.448276,8.448276
14,0.517241,2.586207,1.551724,3.793103,2.586207,4.827586,3.448276,4.310345,4.827586,6.896552,5.344828,5.862069,6.896552,6.896552,7.586207
15,0.689655,1.034483,1.896552,2.413793,4.655172,3.103448,3.793103,3.965517,6.37931,5.172414,5.344828,6.896552,6.37931,6.896552,8.448276
16,0.517241,1.37931,1.37931,2.586207,3.448276,3.62069,3.793103,4.137931,4.827586,5.862069,5.862069,6.896552,6.206897,7.241379,7.241379
17,1.034483,1.034483,1.551724,1.896552,3.103448,2.931034,3.793103,6.724138,4.655172,6.034483,6.896552,6.206897,6.896552,7.586207,6.896552
18,0.517241,1.551724,1.724138,2.068966,2.758621,3.448276,4.137931,4.482759,4.827586,5.344828,6.896552,6.896552,6.896552,7.758621,8.62069
19,0.517241,1.37931,1.724138,2.413793,2.586207,3.448276,4.137931,4.827586,4.827586,5.862069,6.896552,6.896552,6.896552,8.448276,8.62069
20,0.862069,1.37931,1.724138,2.068966,3.103448,3.275862,6.551724,4.482759,5.689655,5.689655,6.37931,6.896552,7.758621,8.103448,8.965517
21,0.862069,1.551724,1.724138,2.241379,2.931034,3.448276,3.793103,4.482759,5.517241,6.206897,6.034483,7.241379,8.103448,7.758621,9.137931
22,0.689655,1.206897,2.068966,2.068966,2.931034,3.62069,4.137931,4.655172,5.517241,5.862069,6.896552,7.758621,8.103448,8.448276,9.137931
23,1.034483,1.37931,2.241379,2.241379,3.103448,3.62069,4.827586,5.344828,5.862069,6.37931,7.758621,8.448276,9.137931,9.310345,9.310345
24,1.034483,1.37931,2.068966,2.931034,3.275862,4.310345,4.827586,4.827586,5.689655,6.034483,6.896552,7.758621,9.310345,9.310345,9.310345
25,1.034483,1.551724,2.241379,2.413793,3.448276,3.793103,4.655172,5.689655,6.206897,6.896552,7.758621,7.758621,9.137931,9.310345,9.310345
26,1.206897,1.896552,2.241379,2.931034,3.275862,4.482759,5,5.862069,6.896552,6.206897,7.241379,8.965517,9.137931,9.310345,11.034483
27,1.034483,1.896552,2.586207,3.275862,3.965517,4.137931,4.827586,5.344828,6.896552,7.241379,7.241379,9.137931,9.310345,9.310345,11.034483
28,1.206897,1.551724,2.241379,2.931034,4.310345,4.482759,5,6.034483,6.896552,6.896552,7.758621,8.965517,9.310345,11.034483,11.034483
29,1.034483,1.896552,2.413793,3.275862,3.793103,4.827586,5.517241,5.862069,6.896552,8.103448,9.310345,9.137931,9.310345,11.034483,11.034483
30,1.206897,1.896552,2.413793,3.448276,4.482759,4.827586,5.862069,6.896552,7.241379,7.758621,9.137931,9.310345,9.310345,9.310345,11.034483
