time_sec,mean_best_value,valid_runs
0.5,586.95,100
1.0,584.89,100
1.5,583.27,100
2.0,582.78,100
2.5,582.64,100
3.0,582.35,100
3.5,582.12,100
4.0,581.94,100
4.5,581.94,100
5.0,581.85,100
5.5,581.77,100
6.0,581.7,100
6.5,581.7,100
7.0,581.64,100
7.5,581.63,100
8.0,581.58,100
8.5,581.56,100
9.0,581.47,100
9.5,581.47,100
10.0,581.4,100
10.5,581.33,100
11.0,581.31,100
11.5,581.31,100
12.0,581.31,100
12.5,581.25,100
13.0,581.18,100
13.5,581.18,100
14.0,581.18,100
14.5,581.18,100
15.0,581.18,100
15.5,581.18,100
16.0,581.15,100
16.5,581.14,100
17.0,581.14,100
17.5,581.07,100
18.0,581.07,100
18.5,581.05,100
19.0,581.02,100
19.5,580.99,100
20.0,580.98,100
