time_sec,mean_best_value,valid_runs
0.5,611.4,100
1.0,607.06,100
1.5,603.71,100
2.0,601.63,100
2.5,600.72,100
3.0,599.67,100
3.5,599.02,100
4.0,598.43,100
4.5,597.91,100
5.0,597.48,100
5.5,597.09,100
6.0,596.9,100
6.5,596.63,100
7.0,596.43,100
7.5,596.15,100
8.0,595.85,100
8.5,595.77,100
9.0,595.51,100
9.5,595.36,100
10.0,595.18,100
10.5,595.08,100
11.0,595.04,100
11.5,594.97,100
12.0,594.92,100
12.5,594.77,100
13.0,594.57,100
13.5,594.4,100
14.0,594.38,100
14.5,594.37,100
15.0,594.36,100
15.5,594.36,100
16.0,594.33,100
16.5,594.33,100
17.0,594.31,100
17.5,594.31,100
18.0,594.3,100
18.5,594.23,100
19.0,594.19,100
19.5,593.98,100
20.0,593.93,100
20.5,593.93,100
21.0,593.86,100
21.5,593.85,100
22.0,593.8,100
22.5,593.78,100
23.0,593.74,100
23.5,593.7,100
24.0,593.63,100
24.5,593.62,100
25.0,593.6,100
25.5,593.48,100
26.0,593.45,100
26.5,593.37,100
27.0,593.37,100
27.5,593.29,100
28.0,593.27,100
28.5,593.21,100
29.0,593.2,100
29.5,593.18,100
30.0,593.17,100
