time_sec,mean_best_value,valid_runs
0.5,609.98,100
1.0,604.48,100
1.5,602.46,100
2.0,600.66,100
2.5,599.56,100
3.0,598.76,100
3.5,597.97,100
4.0,597.52,100
4.5,597.08,100
5.0,596.83,100
5.5,596.54,100
6.0,596.3,100
6.5,596.2,100
7.0,596.06,100
7.5,595.79,100
8.0,595.59,100
8.5,595.57,100
9.0,595.47,100
9.5,595.31,100
10.0,595.18,100
10.5,594.97,100
11.0,594.91,100
11.5,594.68,100
12.0,594.58,100
12.5,594.48,100
13.0,594.38,100
13.5,594.34,100
14.0,594.32,100
14.5,594.3,100
15.0,594.27,100
15.5,594.14,100
16.0,594.05,100
16.5,593.98,100
17.0,593.94,100
17.5,593.87,100
18.0,593.76,100
18.5,593.7,100
19.0,593.62,100
19.5,593.62,100
20.0,593.52,100
20.5,593.48,100
21.0,593.44,100
21.5,593.39,100
22.0,593.38,100
22.5,593.37,100
23.0,593.32,100
23.5,593.3,100
24.0,593.26,100
24.5,593.2,100
25.0,593.17,100
25.5,593.17,100
26.0,593.12,100
26.5,593.1,100
27.0,593.1,100
27.5,593.05,100
28.0,593,100
28.5,592.91,100
29.0,592.88,100
29.5,592.84,100
30.0,592.81,100
