alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.71088424,0,2.210884,0.3404622367,592.18,9161.96,3838972733,176155425,E150_1000.4_r100_lk_dr_dest1_rep1_alpha2_ite30.res
4,100,0.76700668,0,1.530612,0.2707903705,592.51,9051.68,3814407002,176486305.6,E150_1000.4_r100_lk_dr_dest1_rep1_alpha4_ite30.res
6,100,0.63095228,0,1.020408,0.1892485365,591.71,7330.2,4108231710,160803590.7,E150_1000.4_r100_lk_dr_dest1_rep1_alpha6_ite30.res
8,100,0.64795908,0,1.020408,0.2389220176,591.81,7257.71,4154164815,160564645.2,E150_1000.4_r100_lk_dr_dest1_rep1_alpha8_ite30.res
10,100,0.66496588,0,1.020408,0.2570642642,591.91,6825.87,4548363330,151619899.6,E150_1000.4_r100_lk_dr_dest1_rep1_alpha10_ite30.res
12,100,0.765306,0,1.360544,0.2299557612,592.5,6588.59,4655240216,147822368,E150_1000.4_r100_lk_dr_dest1_rep1_alpha12_ite30.res
14,100,0.79591824,0,1.530612,0.2317023818,592.68,6290.9,4906021054,142392997.2,E150_1000.4_r100_lk_dr_dest1_rep1_alpha14_ite30.res
16,100,0.8758502,0,1.530612,0.2596425477,593.15,6078.98,5001869352,139485894.3,E150_1000.4_r100_lk_dr_dest1_rep1_alpha16_ite30.res
18,100,0.79761892,0,1.360544,0.2543220451,592.69,5766.04,5078249262,136812680.9,E150_1000.4_r100_lk_dr_dest1_rep1_alpha18_ite30.res
20,100,0.8843536,0,1.530612,0.2808580584,593.2,5592.76,5141285750,135141651.2,E150_1000.4_r100_lk_dr_dest1_rep1_alpha20_ite30.res
22,100,0.89795904,0,2.040816,0.3270698086,593.28,5364.09,5202806241,134085248.7,E150_1000.4_r100_lk_dr_dest1_rep1_alpha22_ite30.res
24,100,0.9523808,0,2.040816,0.350291543,593.6,5194.42,5219125948,133023127.9,E150_1000.4_r100_lk_dr_dest1_rep1_alpha24_ite30.res
