time_sec,mean_best_value,valid_runs
0.5,613.49,100
1.0,607.87,100
1.5,604.98,100
2.0,602.74,100
2.5,601.37,100
3.0,600.41,100
3.5,599.61,100
4.0,599.06,100
4.5,598.35,100
5.0,597.92,100
5.5,597.47,100
6.0,597.25,100
6.5,596.86,100
7.0,596.56,100
7.5,596.2,100
8.0,596.06,100
8.5,596.01,100
9.0,595.83,100
9.5,595.45,100
10.0,595.35,100
10.5,595.18,100
11.0,595.15,100
11.5,594.99,100
12.0,594.93,100
12.5,594.81,100
13.0,594.73,100
13.5,594.61,100
14.0,594.51,100
14.5,594.43,100
15.0,594.37,100
15.5,594.23,100
16.0,594.2,100
16.5,594.16,100
17.0,594.11,100
17.5,594.08,100
18.0,593.97,100
18.5,593.97,100
19.0,593.97,100
19.5,593.8,100
20.0,593.76,100
20.5,593.6,100
21.0,593.55,100
21.5,593.41,100
22.0,593.41,100
22.5,593.41,100
23.0,593.39,100
23.5,593.39,100
24.0,593.38,100
24.5,593.38,100
25.0,593.32,100
25.5,593.32,100
26.0,593.29,100
26.5,593.29,100
27.0,593.2,100
27.5,593.12,100
28.0,593.1,100
28.5,593.1,100
29.0,593.06,100
29.5,593.04,100
30.0,593.04,100
