alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.85714272,0,2.210884,0.3806061369,593.04,8476.38,3636958670,177815620.2,E150_1000.4_r100_lk_dr_dest1_rep0_alpha2_ite30.res
4,100,0.83163252,0,2.210884,0.3782770244,592.89,8394.24,3618266794,178664905.9,E150_1000.4_r100_lk_dr_dest1_rep0_alpha4_ite30.res
6,100,0.81802708,0,1.530612,0.2957492502,592.81,6392.32,3598085777,171062637.3,E150_1000.4_r100_lk_dr_dest1_rep0_alpha6_ite30.res
8,100,0.84863932,0,1.360544,0.2470971635,592.99,6352.48,3595587506,170632027.6,E150_1000.4_r100_lk_dr_dest1_rep0_alpha8_ite30.res
10,100,0.92516992,0,1.70068,0.2748861464,593.44,5540.14,3607097676,171979765.3,E150_1000.4_r100_lk_dr_dest1_rep0_alpha10_ite30.res
12,100,0.935374,0,1.870748,0.3238562117,593.5,5349.35,3653536300,169316080.2,E150_1000.4_r100_lk_dr_dest1_rep0_alpha12_ite30.res
14,100,1.00850324,0,1.870748,0.3021599964,593.93,4994.08,3698445758,168722864.6,E150_1000.4_r100_lk_dr_dest1_rep0_alpha14_ite30.res
16,100,1.03911548,0,2.040816,0.3365916283,594.11,4805.44,3752282849,165942401.9,E150_1000.4_r100_lk_dr_dest1_rep0_alpha16_ite30.res
18,100,1.0459182,0.340136,1.870748,0.3099116397,594.15,4610.01,3759372713,165339009.2,E150_1000.4_r100_lk_dr_dest1_rep0_alpha18_ite30.res
20,100,1.09523792,0,1.870748,0.4182037023,594.44,4454.58,3795955068,163883284.5,E150_1000.4_r100_lk_dr_dest1_rep0_alpha20_ite30.res
22,100,1.11564608,0,2.210884,0.4010872766,594.56,4307.74,3858329980,162438459.8,E150_1000.4_r100_lk_dr_dest1_rep0_alpha22_ite30.res
24,100,1.14115628,0,2.210884,0.380126085,594.71,4189.26,3898740515,161043155.6,E150_1000.4_r100_lk_dr_dest1_rep0_alpha24_ite30.res
