alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,3.37232843,0.787402,5.399325,0.8562168028,918.98,6477,3183483238,46477002.43,E150_1000.4_r50_lk_dr_dest0_rep0_alpha2_ite15.res
4,100,3.17547805,1.574803,5.849269,0.7250992721,917.23,5087.68,3382839621,44132194.73,E150_1000.4_r50_lk_dr_dest0_rep0_alpha4_ite15.res
6,100,3.05511813,0.899888,4.836895,0.8178511124,916.16,4359.54,3496157213,42688684.76,E150_1000.4_r50_lk_dr_dest0_rep0_alpha6_ite15.res
8,100,3.01012372,1.124859,4.499438,0.6543627786,915.76,3917.21,3609022224,41181807.26,E150_1000.4_r50_lk_dr_dest0_rep0_alpha8_ite15.res
10,100,2.99100114,1.799775,4.949381,0.6822788161,915.59,3624.04,3717752896,39786156.53,E150_1000.4_r50_lk_dr_dest0_rep0_alpha10_ite15.res
12,100,3.16085486,1.687289,5.511811,0.6390223414,917.1,3397.57,3802996437,38664841.57,E150_1000.4_r50_lk_dr_dest0_rep0_alpha12_ite15.res
14,100,3.23734527,1.912261,5.061867,0.5667489206,917.78,3224.86,3904658818,37465767.35,E150_1000.4_r50_lk_dr_dest0_rep0_alpha14_ite15.res
16,100,3.24859387,1.912261,4.386952,0.536084047,917.88,3103.51,3969289340,36649237.85,E150_1000.4_r50_lk_dr_dest0_rep0_alpha16_ite15.res
18,100,3.3700787,2.024747,5.061867,0.6094196967,918.96,2977.2,4023034740,35872736,E150_1000.4_r50_lk_dr_dest0_rep0_alpha18_ite15.res
20,100,3.48593923,2.249719,4.949381,0.5378014836,919.99,2873.43,4064453171,35238795.94,E150_1000.4_r50_lk_dr_dest0_rep0_alpha20_ite15.res
22,100,3.43981997,1.799775,5.286839,0.5480849777,919.58,2791.47,4133044246,34653403.03,E150_1000.4_r50_lk_dr_dest0_rep0_alpha22_ite15.res
24,100,3.7536558,2.474691,5.286839,0.5796977194,922.37,2706.09,4155215410,34189455.22,E150_1000.4_r50_lk_dr_dest0_rep0_alpha24_ite15.res
