time_sec,mean_best_value,valid_runs
0.5,607.21,100
1.0,601.76,100
1.5,599.55,100
2.0,598.1,100
2.5,597.3,100
3.0,596.57,100
3.5,595.56,100
4.0,595.01,100
4.5,594.67,100
5.0,594.48,100
5.5,594.25,100
6.0,594.14,100
6.5,593.98,100
7.0,593.78,100
7.5,593.65,100
8.0,593.46,100
8.5,593.28,100
9.0,593.23,100
9.5,593.12,100
10.0,593.03,100
10.5,593.03,100
11.0,592.99,100
11.5,592.96,100
12.0,592.94,100
12.5,592.92,100
13.0,592.8,100
13.5,592.76,100
14.0,592.72,100
14.5,592.63,100
15.0,592.61,100
15.5,592.55,100
16.0,592.48,100
16.5,592.44,100
17.0,592.33,100
17.5,592.3,100
18.0,592.26,100
18.5,592.18,100
19.0,592.17,100
19.5,592.15,100
20.0,592.14,100
20.5,592.1,100
21.0,592.05,100
21.5,591.96,100
22.0,591.96,100
22.5,591.94,100
23.0,591.94,100
23.5,591.94,100
24.0,591.92,100
24.5,591.9,100
25.0,591.88,100
25.5,591.83,100
26.0,591.82,100
26.5,591.81,100
27.0,591.77,100
27.5,591.74,100
28.0,591.73,100
28.5,591.73,100
29.0,591.71,100
29.5,591.71,100
30.0,591.71,100
