alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,3.19235096,1.349831,5.174353,0.7783047438,917.38,6448.26,3158025458,46991142.98,E150_1000.4_r50_lk_dr_dest1_rep0_alpha2_ite15.res
4,100,2.95388074,1.574803,4.836895,0.6571887178,915.26,5207.2,3300162388,46179474.5,E150_1000.4_r50_lk_dr_dest1_rep0_alpha4_ite15.res
6,100,3.02699656,1.799775,4.274466,0.5360398444,915.91,4540.34,3392998285,44936625.47,E150_1000.4_r50_lk_dr_dest1_rep0_alpha6_ite15.res
8,100,3.2193475,2.024747,4.049494,0.4869878303,917.62,4033.52,3439960627,44143025.26,E150_1000.4_r50_lk_dr_dest1_rep0_alpha8_ite15.res
10,100,3.24409441,1.574803,4.274466,0.5270532263,917.84,3726.3,3499477661,43060417.37,E150_1000.4_r50_lk_dr_dest1_rep0_alpha10_ite15.res
12,100,3.44094485,2.249719,4.499438,0.5259305546,919.59,3518.42,3574943773,41713490.67,E150_1000.4_r50_lk_dr_dest1_rep0_alpha12_ite15.res
14,100,3.65354331,2.249719,4.611924,0.4503641242,921.48,3343.76,3652946117,40458362.7,E150_1000.4_r50_lk_dr_dest1_rep0_alpha14_ite15.res
16,100,3.736783,1.912261,4.949381,0.5565083927,922.22,3222.27,3714280620,39564167.51,E150_1000.4_r50_lk_dr_dest1_rep0_alpha16_ite15.res
18,100,3.79527566,2.249719,4.836895,0.5004084193,922.74,3101.71,3770944483,38675237.65,E150_1000.4_r50_lk_dr_dest1_rep0_alpha18_ite15.res
20,100,3.93138367,2.474691,4.949381,0.5305952656,923.95,3014.25,3820261730,37916972.61,E150_1000.4_r50_lk_dr_dest1_rep0_alpha20_ite15.res
22,100,4.03937014,2.699663,4.836895,0.5459623401,924.91,2919.3,3859892672,37204278.02,E150_1000.4_r50_lk_dr_dest1_rep0_alpha22_ite15.res
24,100,4.15073128,2.699663,5.286839,0.5097407598,925.9,2855.12,3911547528,36559850.36,E150_1000.4_r50_lk_dr_dest1_rep0_alpha24_ite15.res
