time_sec,mean_best_value,valid_runs
0.5,585.17,100
1.0,579.82,100
1.5,578.11,100
2.0,576.93,100
2.5,576.31,100
3.0,575.75,100
3.5,575.4,100
4.0,575.27,100
4.5,575.15,100
5.0,575.03,100
5.5,574.76,100
6.0,574.62,100
6.5,574.47,100
7.0,574.39,100
7.5,574.31,100
8.0,574.26,100
8.5,574.21,100
9.0,574.12,100
9.5,573.81,100
10.0,573.71,100
10.5,573.57,100
11.0,573.47,100
11.5,573.47,100
12.0,573.32,100
12.5,573.32,100
13.0,573.32,100
13.5,573.32,100
14.0,573.26,100
14.5,573.21,100
15.0,573.03,100
15.5,572.94,100
16.0,572.89,100
16.5,572.89,100
17.0,572.86,100
17.5,572.74,100
18.0,572.74,100
18.5,572.74,100
19.0,572.69,100
19.5,572.57,100
20.0,572.57,100
