tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,7.1195079,6.88576454,6.96309317,6.85237262,6.70474518,6.63796136,6.20738141,6.3936732,6.28822504,6.1511424,5.89103694,6.07029883,5.85588758,6.36906858,6.28998247
2,6.48857647,6.34973642,5.83655536,5.08084358,5.03690685,5.06151141,4.79964851,5.20386641,4.53954303,4.76801404,5.21089628,5.06151144,5.57820738,5.49384887,5.22144114
3,4.97012294,4.48154647,4.52724077,3.93673105,3.43760975,3.63268891,3.65553598,3.71353249,3.77152895,3.8998242,4.24077329,4.55536023,4.55008788,4.91212654,5.50087876
4,3.28470987,2.79086096,2.55711757,3.17223185,3.0984182,3.30228466,3.45342696,3.46924422,3.46397179,3.62214412,3.43233734,4.0790861,4.44639717,4.84182777,4.93848856
5,2.15289964,1.73462193,2.03339175,2.28998222,2.72056229,2.764499,3.17574686,3.16520202,3.46221438,3.65553595,3.47100172,3.87170469,3.86291733,4.10896305,4.70826008
6,1.24428805,1.57820718,1.93497342,2.02108947,2.36028105,2.4956062,2.6695957,2.996485,3.17750432,3.16871698,3.30931458,3.15465722,3.5079086,4.0685413,4.01054479
7,0.99296993,1.37434077,1.50790848,1.81722308,2.09138825,2.20738127,2.53075569,2.79261856,3.06502632,2.85061504,3.08611596,3.17574689,3.61862914,3.82249559,4.16520208
8,1.00702967,1.32337415,1.48506134,1.7697714,1.92442868,1.98594014,2.40421781,2.46397183,2.5114235,2.88224944,2.90509653,3.14059748,3.41124778,3.73989449,3.87697713
9,0.9718803,1.34973619,1.42354993,1.64850597,1.89982409,2.03514931,2.29173979,2.33391906,2.48681889,2.68892792,2.82952541,3.12302278,3.29525476,3.62038657,3.61159927
10,1.01405956,1.17926165,1.44463958,1.75746908,1.84007019,2.07205615,2.14586992,2.3655535,2.46572927,2.57644983,2.80492083,3.02284699,3.04569415,3.63444634,3.76274162
11,0.82776785,1.13005251,1.50087859,1.66432329,1.90685403,2.05799647,2.13356758,2.46572927,2.42355003,2.50439357,2.81195075,3.2038664,3.24253072,3.72759224,3.96836554
12,0.69595768,1.26010523,1.42003499,1.67486803,1.85237246,1.93848847,2.2425307,2.50790856,2.68014051,2.70298761,2.72056226,3.00878729,3.397188,3.40421789,3.99121265
13,0.86291724,1.13883993,1.38137069,1.62741635,1.82952537,1.88752184,2.26186285,2.49033384,2.44815451,2.79964843,2.97539536,3.44815457,3.58347978,3.60808435,4.10544814
14,0.6326888,1.10369046,1.3866431,1.64323362,1.74340936,1.94727585,2.16344453,2.4024604,2.51669591,2.83831281,2.98242526,3.18453422,3.48681897,3.86467486,4.26010549
15,0.7592266,1.09841809,1.38137062,1.57117731,1.73813695,1.96836545,2.18277671,2.43936722,2.55184529,2.89630926,2.90333911,3.17926181,3.9964851,4.41476273,4.57469245
16,0.82776788,1.0685411,1.31985919,1.57117735,1.734622,1.92970108,2.16168711,2.38312819,2.65202102,2.86291732,3.02108961,3.57996484,3.93497364,4.04920911,4.42706505
17,0.6977152,1.09314574,1.26010526,1.56941985,1.70123008,1.86994718,2.12829513,2.30052717,2.56766246,3.00702986,2.84358515,3.51493843,3.68541301,4.25483306,4.81546573
18,0.64323373,1.04745153,1.33743393,1.50966596,1.77680129,2.0351493,2.26713523,2.34446385,2.7240772,2.76625655,3.19156406,3.64499123,4.05448155,4.76801407,4.89630932
19,0.62741651,0.95079082,1.34973619,1.62565893,1.75219674,1.99297003,2.29876968,2.39894539,2.60632681,2.79613347,3.06854126,3.87521962,3.89982425,4.36555362,5.32688924
20,0.68717052,0.88752192,1.24077313,1.4956062,1.64674863,2.02811946,2.37609834,2.47451663,2.56414752,2.8207381,3.36028121,3.76801404,4.15817223,4.56414763,4.82952548
21,0.70826018,0.86467482,1.29701214,1.54833032,1.75043923,2.17047445,2.36028108,2.44463962,2.72934966,2.79086108,3.29701229,3.81898064,4.35325131,4.91388402,4.85764497
22,0.77855892,0.96309308,1.36028108,1.55711762,1.73286464,2.04920905,2.20913875,2.47978905,2.86643231,3.05975389,3.60632685,3.95079083,4.50439365,5.11247804,5.05272408
23,0.67135333,1.04393667,1.4253074,1.66080836,1.71353245,2.1370825,2.39543049,2.50790854,2.64674862,2.96485059,3.44991209,4.31985939,4.78910372,5.0386643,5.51669596
24,0.92970122,1.15992958,1.42003497,1.65729339,1.66783825,2.1195078,2.50966598,2.75571171,2.76977144,3.06854124,3.62917397,4.29876972,4.68189805,5.64147628,5.76625659
25,0.89630931,1.11423536,1.40949016,1.48857635,1.93145864,2.27240764,2.55184525,2.65377847,2.9648506,3.29876973,3.68189805,4.38840067,4.95254834,5.55184535,5.68365553
26,0.86467489,1.14762732,1.34446381,1.57820728,1.78910361,2.25659044,2.51669593,2.98594018,2.79261854,3.41652015,3.89982425,4.76274166,5.17750441,5.58875224,5.7205624
27,0.94727596,1.26889263,1.47275909,1.54833026,2.09490328,2.27065019,2.46397179,3.08611594,2.7996484,3.79789104,3.797891,4.65026364,5.37082601,5.73462218,5.43233745
28,1.05448151,1.31985925,1.46748669,1.90333913,2.00175738,2.43057988,2.70826005,2.98242523,3.34797888,3.29876972,4.40949034,4.81019335,5.67135327,5.31282954,5.72583481
29,1.08611594,1.22671343,1.54481533,1.76449912,2.07732855,2.54305789,2.68892785,2.94551841,3.6326889,3.83128296,4.47451672,4.87873462,5.46924429,5.72407735,5.51669597
30,1.04393669,1.26889265,1.59929687,1.96133556,2.21616866,2.40949021,2.82425301,2.92442877,3.63444633,3.83128289,4.65026363,5.35149387,5.7223199,5.95079089,6.20562392
