tenure1/tenure2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,3.394925523,3.267141698,3.367400051,3.208820497,3.147108507,3.188647088,3.09106688,3.21007919,3.169520519,3.105680415,3.104874017,3.017051354,3.127929603,3.075103714,3.118432954
2,3.129374175,3.065909533,2.911282409,2.997986424,2.825741283,2.49203044,2.761529241,2.66785293,2.76344679,2.769454815,2.614322915,2.812350346,2.931535323,2.664631618,2.7360351
3,2.67855984,2.760542461,2.711200345,2.601248135,1.966761914,2.187032732,2.376600445,2.46045979,2.328809675,2.53248066,2.575466191,2.406938995,2.710739803,2.513183819,2.480188981
4,2.281311563,1.952157209,1.929561483,1.885460096,1.967721642,2.101800628,2.041261715,2.106276862,2.278936453,2.327556011,2.384734685,2.393226196,2.579036032,2.593941861,2.425225767
5,1.858806102,1.535030327,1.375527704,1.632876285,1.899956267,1.802374116,1.890134487,2.016915371,2.07264379,2.210770357,2.277038233,2.274253102,2.362461499,2.630391951,2.503870796
6,1.259964908,1.426192244,1.498812619,1.343944727,1.545163717,1.709776543,1.811586303,1.943734067,1.975476583,2.126618723,2.124595632,2.238625281,2.207573631,2.36222395,2.148652972
7,1.124007781,1.310481098,1.331244151,1.618593705,1.494760214,1.627826111,1.651995022,1.912519366,1.800789379,2.063105798,2.255347031,2.166197185,2.131220027,2.393808397,2.496379296
8,0.9810516359,1.086863229,1.387558442,1.5582429,1.660459556,1.690761983,1.615692751,1.990004594,1.993178165,1.937317833,2.057577278,2.193835783,2.120017642,2.17282701,2.207342833
9,1.000837155,1.253596239,1.273668436,1.266819328,1.482991045,1.707908992,1.779587392,1.762596655,1.772921276,1.772313086,2.020712058,2.103767478,1.922647373,2.230588898,2.178457303
10,1.120439569,1.387558487,1.186930202,1.481897273,1.426856534,1.643196706,1.72198736,1.502664832,1.691845045,1.851475791,1.85101186,1.903332011,2.090644615,2.069211504,2.021353923
11,1.041248982,1.032256145,1.246165249,1.366382007,1.336652635,1.420975474,1.550284506,1.644584894,1.793278182,1.893344721,1.942118283,1.881761159,1.89615438,2.02225847,2.07987878
12,0.9526369338,1.069735281,1.164336481,1.496265375,1.298339447,1.382221585,1.567604033,1.698235642,1.889890839,1.795228399,1.725815106,1.897741456,1.860284052,2.084367965,2.045131983
13,0.8800040716,1.064262925,1.136685303,1.499641375,1.524827419,1.393760087,1.427712464,1.577728242,1.694580708,1.679936919,1.785532169,1.848369877,2.065016399,1.900931822,2.178630621
14,0.8196806935,1.268314751,1.125030848,1.300544571,1.287167427,1.467581275,1.421329755,1.566423756,1.528258568,1.518818727,1.709642229,1.726491124,1.725265904,2.025750573,2.000909917
15,0.8328712435,1.058043157,1.094879202,1.095403781,1.220149929,1.238293847,1.389452547,1.477962841,1.552560012,1.578425447,1.678967914,1.803429595,1.942606141,1.945452832,2.027465523
16,0.8666577079,0.9556787757,1.142344791,1.359985825,1.320782344,1.445064435,1.453793571,1.527893183,1.569257224,1.698675097,1.785970045,1.597305946,2.059444096,1.85608343,2.042543173
17,0.8028656806,1.007933285,0.8612276074,0.9757435961,1.217019524,1.390501901,1.319705544,1.467364297,1.576834432,1.601601826,1.624985364,1.82981799,1.896414468,1.95618631,1.937511177
18,0.895920462,0.9861823802,1.090716327,1.180854873,1.206628858,1.297571634,1.316253952,1.370739409,1.533967746,1.755067114,1.726964536,1.62825547,1.809495797,1.951240596,1.902024481
19,0.7268443301,0.8967546924,0.8664731481,0.9349887551,1.139655658,1.31372241,1.42937833,1.440117633,1.567105186,1.584153886,1.763873275,1.680505422,1.85881003,1.919604902,2.123060916
20,0.798142934,0.8698487617,0.8898835964,1.013551978,1.157198648,1.154267082,1.316349599,1.474627554,1.595283634,1.531571752,1.704571959,1.799868112,1.704196648,2.162124486,1.958167896
21,0.6865812405,0.8655633847,0.8120354813,0.8205474011,1.091789726,1.025521746,1.227807101,1.215314812,1.456903151,1.436460538,1.766705265,1.796396852,1.810749068,2.0689939,2.179414218
22,0.7462101691,0.8847031216,0.8413341257,0.9361030839,1.071660447,1.331485516,1.227004794,1.538556052,1.386644552,1.706037763,1.841768551,1.938272278,2.01970855,2.131131089,2.232589554
23,0.7219216765,0.8350729518,0.9240022414,0.8249175047,0.9329163818,1.138559744,1.227604443,1.500786355,1.327858211,1.692547811,1.600214392,1.973385541,2.021022754,2.337695065,2.005118737
24,0.611893319,0.8417282963,0.9292185906,0.9652871223,1.023932168,1.263554971,1.291730175,1.368907015,1.556949897,1.56913363,1.85621665,1.715349455,2.030417828,2.072215068,2.283672428
25,0.6867861272,0.7925665683,0.8246427646,0.7758797999,0.9070527434,1.202448967,1.26041612,1.452521792,1.352675146,1.613381421,1.880836252,2.030986656,1.984967875,1.984740337,2.092610662
26,0.791721629,0.6762280538,0.8154694504,0.7210041814,1.007279294,1.103002004,1.233697938,1.348622861,1.40439221,1.44635913,1.783808814,1.842064392,2.154516893,2.201404328,2.284331154
27,0.6808960033,0.7924694224,0.7475286523,0.7350936367,0.9910430633,1.152145681,1.331129571,1.392356925,1.439083866,1.560385408,1.760330981,1.941734678,2.017708104,2.164763843,2.281736681
28,0.6819391177,0.8389086621,0.829084287,0.9485866516,0.9462123905,1.242577191,1.383690727,1.33767153,1.377946755,1.681487614,1.705451741,2.000205181,2.091109901,2.174407568,2.223523962
29,0.5871736311,0.6130176369,0.7032180662,0.8983913485,1.014253056,1.084474845,1.220418097,1.292898997,1.561560782,1.806405366,1.817454916,2.00673994,2.156943813,2.266397954,2.352546878
30,0.6024916266,0.6715937356,0.7723235366,0.9432341183,1.057595193,1.174417927,1.404091588,1.477196138,1.505554469,1.598450515,1.795617711,2.137076349,2.202879017,2.112632024,2.306634651
