time_sec,mean_best_value,valid_runs
0.5,610.31,100
1.0,608.09,100
1.5,605.02,100
2.0,603.15,100
2.5,601.64,100
3.0,600.7,100
3.5,599.46,100
4.0,598.29,100
4.5,597.76,100
5.0,597.24,100
5.5,596.7,100
6.0,596.47,100
6.5,595.76,100
7.0,595.11,100
7.5,594.72,100
8.0,594.54,100
8.5,594.21,100
9.0,593.82,100
9.5,593.72,100
10.0,593.5,100
10.5,593.41,100
11.0,593.34,100
11.5,593.03,100
12.0,592.54,100
12.5,592.32,100
13.0,592.19,100
13.5,591.96,100
14.0,591.77,100
14.5,591.28,100
15.0,591.06,100
15.5,590.76,100
16.0,590.67,100
16.5,590.56,100
17.0,590.49,100
17.5,590.48,100
18.0,590.29,100
18.5,589.95,100
19.0,589.68,100
19.5,589.56,100
20.0,589.18,100
20.5,589.18,100
21.0,589.07,100
21.5,588.89,100
22.0,588.74,100
22.5,588.66,100
23.0,588.59,100
23.5,588.39,100
24.0,588.29,100
24.5,588.19,100
25.0,588.03,100
25.5,587.88,100
26.0,587.68,100
26.5,587.68,100
27.0,587.59,100
27.5,587.48,100
28.0,587.44,100
28.5,587.44,100
29.0,587.36,100
29.5,587.33,100
30.0,587.33,100
