alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,2.80569312,0.618812,4.70297,0.5683916937,830.67,14257.81,1621417598,45470379.1,E100_1000.4_r50_lk_dr_dest1_rep0_alpha2_ite10.res
4,100,1.8675743,0.742574,2.475248,0.3166811466,823.09,11295.78,1620400609,44094837.83,E100_1000.4_r50_lk_dr_dest1_rep0_alpha4_ite10.res
6,100,1.75866338,0,2.475248,0.4356329634,822.21,9874.86,1645831404,43502679.89,E100_1000.4_r50_lk_dr_dest1_rep0_alpha6_ite10.res
8,100,1.799505,0.371287,2.475248,0.3919319029,822.54,9143.37,1656513339,43058489.88,E100_1000.4_r50_lk_dr_dest1_rep0_alpha8_ite10.res
10,100,1.82673271,0,2.722772,0.4273229159,822.76,8655.84,1677463592,42217371.94,E100_1000.4_r50_lk_dr_dest1_rep0_alpha10_ite10.res
12,100,1.79579213,0.123762,2.59901,0.3498295785,822.51,8137.6,1712521771,41341111.58,E100_1000.4_r50_lk_dr_dest1_rep0_alpha12_ite10.res
14,100,1.77227729,0.247525,2.475248,0.3809051631,822.32,7786.48,1740278987,40530967.31,E100_1000.4_r50_lk_dr_dest1_rep0_alpha14_ite10.res
16,100,1.86386142,0.742574,2.59901,0.2979138333,823.06,7496.37,1765873936,39708987.76,E100_1000.4_r50_lk_dr_dest1_rep0_alpha16_ite10.res
18,100,1.86138616,0.371287,2.59901,0.4261627479,823.04,7282.88,1792826545,38878248.52,E100_1000.4_r50_lk_dr_dest1_rep0_alpha18_ite10.res
20,100,1.88366344,0.123762,2.722772,0.4399744115,823.22,7121.06,1814580390,38339194.8,E100_1000.4_r50_lk_dr_dest1_rep0_alpha20_ite10.res
22,100,1.91707921,0.123762,2.59901,0.4451884552,823.49,6935.88,1837779647,37615985.94,E100_1000.4_r50_lk_dr_dest1_rep0_alpha22_ite10.res
24,100,2.0482674,1.113861,2.846535,0.3541722189,824.55,6801.94,1855925352,37097084.6,E100_1000.4_r50_lk_dr_dest1_rep0_alpha24_ite10.res
