alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.26713544,0,0.702988,0.293953644,570.52,16778.54,2145032222,147211397.8,E100_1000.4_r100_lk_dr_dest1_rep0_alpha2_ite20.res
4,100,0.26889291,0,0.702988,0.2939271089,570.53,16797.2,2145500949,147591032.2,E100_1000.4_r100_lk_dr_dest1_rep0_alpha4_ite20.res
6,100,0.07381374,0,0.702988,0.1872303238,569.42,13686.17,2201396490,146453816.3,E100_1000.4_r100_lk_dr_dest1_rep0_alpha6_ite20.res
8,100,0.07732868,0,0.702988,0.1907629714,569.44,13445.87,2201533813,143674835.8,E100_1000.4_r100_lk_dr_dest1_rep0_alpha8_ite20.res
10,100,0.0702988,0,0.702988,0.1748571361,569.4,12804.25,2189735911,144694999.9,E100_1000.4_r100_lk_dr_dest1_rep0_alpha10_ite20.res
12,100,0.05623904,0,0.702988,0.1577476491,569.32,11599.88,2254231239,139992785.8,E100_1000.4_r100_lk_dr_dest1_rep0_alpha12_ite20.res
14,100,0.04745169,0,0.702988,0.1536904726,569.27,11322.77,2249647624,139175481.5,E100_1000.4_r100_lk_dr_dest1_rep0_alpha14_ite20.res
16,100,0.09314591,0,0.702988,0.2036334654,569.53,10454.37,2270192013,138548989.7,E100_1000.4_r100_lk_dr_dest1_rep0_alpha16_ite20.res
18,100,0.09138844,0,0.527241,0.1877295611,569.52,10199.09,2283916830,136967357.4,E100_1000.4_r100_lk_dr_dest1_rep0_alpha18_ite20.res
20,100,0.06854133,0,0.702988,0.1764468194,569.39,9844.59,2285244867,136855410,E100_1000.4_r100_lk_dr_dest1_rep0_alpha20_ite20.res
22,100,0.15289989,0,0.702988,0.2404472149,569.87,9510.57,2318967098,135901585.1,E100_1000.4_r100_lk_dr_dest1_rep0_alpha22_ite20.res
24,100,0.13884013,0,0.702988,0.2333887971,569.79,9225.21,2352028415,134835938.2,E100_1000.4_r100_lk_dr_dest1_rep0_alpha24_ite20.res
