time_sec,mean_best_value,valid_runs
0.5,574.61,100
1.0,573.26,100
1.5,572.59,100
2.0,572.2,100
2.5,571.96,100
3.0,571.77,100
3.5,571.69,100
4.0,571.61,100
4.5,571.29,100
5.0,571.13,100
5.5,570.93,100
6.0,570.92,100
6.5,570.78,100
7.0,570.68,100
7.5,570.62,100
8.0,570.54,100
8.5,570.44,100
9.0,570.34,100
9.5,570.21,100
10.0,569.96,100
10.5,569.93,100
11.0,569.92,100
11.5,569.82,100
12.0,569.68,100
12.5,569.61,100
13.0,569.61,100
13.5,569.61,100
14.0,569.56,100
14.5,569.56,100
15.0,569.53,100
15.5,569.49,100
16.0,569.46,100
16.5,569.43,100
17.0,569.4,100
17.5,569.39,100
18.0,569.33,100
18.5,569.27,100
19.0,569.27,100
19.5,569.27,100
20.0,569.27,100
