alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.32761578,0,0.857633,0.1196718303,584.91,8299.08,3088625909,273990518.3,E150_1000.5_r100_lk_dr_dest1_rep0_alpha2_ite30.res
4,100,0.30531738,0,0.51458,0.120870242,584.78,8266.74,3081331014,273338612.4,E150_1000.5_r100_lk_dr_dest1_rep0_alpha4_ite30.res
6,100,0.36363641,0.171527,0.857633,0.1427410888,585.12,6415.62,3169622972,252607716.1,E150_1000.5_r100_lk_dr_dest1_rep0_alpha6_ite30.res
8,100,0.35849061,0,0.857633,0.1337444917,585.09,6338,3216417225,248975624.4,E150_1000.5_r100_lk_dr_dest1_rep0_alpha8_ite30.res
10,100,0.35506006,0,0.686106,0.1384608756,585.07,6070.34,3223417231,248126683.8,E150_1000.5_r100_lk_dr_dest1_rep0_alpha10_ite30.res
12,100,0.41166385,0,0.857633,0.1706580464,585.4,5478.82,3335483097,237275201.3,E150_1000.5_r100_lk_dr_dest1_rep0_alpha12_ite30.res
14,100,0.39622647,0,0.857633,0.1701261042,585.31,5341.4,3354531281,235354532.6,E150_1000.5_r100_lk_dr_dest1_rep0_alpha14_ite30.res
16,100,0.44939974,0.171527,1.02916,0.1804429091,585.62,5038.77,3433768805,230445861.2,E150_1000.5_r100_lk_dr_dest1_rep0_alpha16_ite30.res
18,100,0.48370496,0,0.857633,0.2001217371,585.82,4916.68,3480497530,227196077.7,E150_1000.5_r100_lk_dr_dest1_rep0_alpha18_ite30.res
20,100,0.47684392,0,0.857633,0.1897551101,585.78,4777.33,3504135075,225020160.3,E150_1000.5_r100_lk_dr_dest1_rep0_alpha20_ite30.res
22,100,0.55060034,0.171527,1.02916,0.1999955317,586.21,4603.06,3553286924,221155883.6,E150_1000.5_r100_lk_dr_dest1_rep0_alpha22_ite30.res
24,100,0.59176675,0.171527,1.200686,0.2368412558,586.45,4462.23,3599390822,217319261.4,E150_1000.5_r100_lk_dr_dest1_rep0_alpha24_ite30.res
