alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,1.94506727,0.336323,3.475336,0.7194068763,909.35,6272.26,2792506228,59966986.02,E150_1000.5_r50_lk_dr_dest1_rep1_alpha2_ite15.res
4,100,1.86995512,0.44843,3.026906,0.5640106511,908.68,5720.59,3362349668,47843860.26,E150_1000.5_r50_lk_dr_dest1_rep1_alpha4_ite15.res
6,100,2.07511202,0.44843,3.587444,0.6049774115,910.51,5366.48,3631715323,42151093.26,E150_1000.5_r50_lk_dr_dest1_rep1_alpha6_ite15.res
8,100,2.23878921,0.672646,3.475336,0.5256997453,911.97,4915.42,3715800525,40044806.62,E150_1000.5_r50_lk_dr_dest1_rep1_alpha8_ite15.res
10,100,2.34192825,0.560538,3.587444,0.5013339613,912.89,4501.17,3752571837,39009954.87,E150_1000.5_r50_lk_dr_dest1_rep1_alpha10_ite15.res
12,100,2.42040357,1.008969,3.923767,0.4898581223,913.59,4105.68,3777269494,38394843.99,E150_1000.5_r50_lk_dr_dest1_rep1_alpha12_ite15.res
14,100,2.49663677,1.569507,3.587444,0.4188186718,914.27,3815.68,3821584622,37868688.36,E150_1000.5_r50_lk_dr_dest1_rep1_alpha14_ite15.res
16,100,2.5280269,1.008969,3.475336,0.4810398969,914.55,3600.51,3872961039,37363053.7,E150_1000.5_r50_lk_dr_dest1_rep1_alpha16_ite15.res
18,100,2.588565,1.121076,3.475336,0.4759245175,915.09,3421.46,3917695874,37031727.05,E150_1000.5_r50_lk_dr_dest1_rep1_alpha18_ite15.res
20,100,2.64910312,1.345291,3.699552,0.4597959488,915.63,3279.64,3953946233,36586796.02,E150_1000.5_r50_lk_dr_dest1_rep1_alpha20_ite15.res
22,100,2.65358743,1.121076,3.699552,0.4937199047,915.67,3134.78,3986828789,36200806.12,E150_1000.5_r50_lk_dr_dest1_rep1_alpha22_ite15.res
24,100,2.77354264,1.457399,3.811659,0.4403228404,916.74,3024.53,4017731754,35827019.7,E150_1000.5_r50_lk_dr_dest1_rep1_alpha24_ite15.res
