alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,0.31560891,0.171527,0.51458,0.09030362108,584.84,9116.88,3174294746,272611522.8,E150_1000.5_r100_lk_dr_dest1_rep1_alpha2_ite30.res
4,100,0.36878217,0.171527,0.857633,0.1510263664,585.15,9122.3,3176157399,271462760.2,E150_1000.5_r100_lk_dr_dest1_rep1_alpha4_ite30.res
6,100,0.37564327,0.171527,0.686106,0.1235813932,585.19,8315.95,3864592719,231047631.1,E150_1000.5_r100_lk_dr_dest1_rep1_alpha6_ite30.res
8,100,0.36535173,0,0.857633,0.1496029002,585.13,8338.36,3915200901,229298391.6,E150_1000.5_r100_lk_dr_dest1_rep1_alpha8_ite30.res
10,100,0.41337912,0.171527,0.686106,0.122130049,585.41,7995.43,4238090064,216882979.3,E150_1000.5_r100_lk_dr_dest1_rep1_alpha10_ite30.res
12,100,0.43053183,0,0.686106,0.1589269854,585.51,7770.49,4494360826,202571047.8,E150_1000.5_r100_lk_dr_dest1_rep1_alpha12_ite30.res
14,100,0.46655232,0,0.857633,0.1654950435,585.72,7295.07,4621427623,197471765.1,E150_1000.5_r100_lk_dr_dest1_rep1_alpha14_ite30.res
16,100,0.52658663,0,0.857633,0.1860781051,586.07,6956.84,4718285645,192440684.1,E150_1000.5_r100_lk_dr_dest1_rep1_alpha16_ite30.res
18,100,0.53859348,0,0.857633,0.1824736887,586.14,6587.66,4748969872,189451057.4,E150_1000.5_r100_lk_dr_dest1_rep1_alpha18_ite30.res
20,100,0.62092619,0.171527,1.200686,0.1884979641,586.62,6304.69,4777893304,187116901.6,E150_1000.5_r100_lk_dr_dest1_rep1_alpha20_ite30.res
22,100,0.65180103,0.171527,1.200686,0.2068688481,586.8,5967.5,4815898821,183532805.2,E150_1000.5_r100_lk_dr_dest1_rep1_alpha22_ite30.res
24,100,0.70325898,0.343053,1.02916,0.1816249368,587.1,5754.36,4838600280,181203490.5,E150_1000.5_r100_lk_dr_dest1_rep1_alpha24_ite30.res
