time_sec,mean_best_value,valid_runs
0.5,595.55,100
1.0,591.88,100
1.5,590.7,100
2.0,589.73,100
2.5,588.82,100
3.0,588.33,100
3.5,587.86,100
4.0,587.58,100
4.5,587.21,100
5.0,587.05,100
5.5,586.97,100
6.0,586.95,100
6.5,586.76,100
7.0,586.47,100
7.5,586.39,100
8.0,586.32,100
8.5,586.14,100
9.0,586.11,100
9.5,586.02,100
10.0,585.95,100
10.5,585.89,100
11.0,585.82,100
11.5,585.73,100
12.0,585.68,100
12.5,585.67,100
13.0,585.55,100
13.5,585.5,100
14.0,585.45,100
14.5,585.45,100
15.0,585.4,100
15.5,585.39,100
16.0,585.29,100
16.5,585.23,100
17.0,585.23,100
17.5,585.18,100
18.0,585.18,100
18.5,585.18,100
19.0,585.15,100
19.5,585.15,100
20.0,585.12,100
20.5,585.12,100
21.0,585.09,100
21.5,585.09,100
22.0,585.09,100
22.5,585.08,100
23.0,585.07,100
23.5,585.04,100
24.0,585.04,100
24.5,585.04,100
25.0,585,100
25.5,584.99,100
26.0,584.98,100
26.5,584.95,100
27.0,584.9,100
27.5,584.89,100
28.0,584.86,100
28.5,584.86,100
29.0,584.86,100
29.5,584.86,100
30.0,584.84,100
