alpha,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility,file
2,100,1.90582957,0.224215,3.587444,0.7989419003,909,5584.47,2640420327,60804397.63,E150_1000.5_r50_lk_dr_dest1_rep0_alpha2_ite15.res
4,100,1.7903587,-0.112108,3.026906,0.5864282238,907.97,4428.11,2702335554,57346692.55,E150_1000.5_r50_lk_dr_dest1_rep0_alpha4_ite15.res
6,100,1.85089684,0.336323,3.475336,0.5963116945,908.51,3789.44,2778296125,55301295.72,E150_1000.5_r50_lk_dr_dest1_rep0_alpha6_ite15.res
8,100,1.93834078,0.44843,3.251121,0.5495122041,909.29,3442.23,2857155146,53980276.25,E150_1000.5_r50_lk_dr_dest1_rep0_alpha8_ite15.res
10,100,2.04260084,0.560538,3.026906,0.4787131845,910.22,3193.97,2925548168,52663823.42,E150_1000.5_r50_lk_dr_dest1_rep0_alpha10_ite15.res
12,100,2.03363221,0.672646,3.026906,0.5138701405,910.14,3006.93,2984165084,51347435.07,E150_1000.5_r50_lk_dr_dest1_rep0_alpha12_ite15.res
14,100,2.15807168,0.896861,3.139013,0.4912245439,911.25,2835.34,3050892221,50246079.29,E150_1000.5_r50_lk_dr_dest1_rep0_alpha14_ite15.res
16,100,2.16143495,1.121076,2.914798,0.3675538261,911.28,2736.58,3101996145,49384502.35,E150_1000.5_r50_lk_dr_dest1_rep0_alpha16_ite15.res
18,100,2.07959642,0.560538,3.251121,0.5191190242,910.55,2633.99,3150473261,48578871.91,E150_1000.5_r50_lk_dr_dest1_rep0_alpha18_ite15.res
20,100,2.1647982,1.121076,3.139013,0.4274711081,911.31,2549.86,3198479808,47701477.75,E150_1000.5_r50_lk_dr_dest1_rep0_alpha20_ite15.res
22,100,2.21524666,0.672646,3.363229,0.4807085947,911.76,2476.07,3239723108,46837478.17,E150_1000.5_r50_lk_dr_dest1_rep0_alpha22_ite15.res
24,100,2.19394612,0.784753,3.251121,0.4635357241,911.57,2410.42,3281123611,46119580.86,E150_1000.5_r50_lk_dr_dest1_rep0_alpha24_ite15.res
