time_sec,mean_best_value,valid_runs
0.5,595.56,100
1.0,592.04,100
1.5,590.32,100
2.0,589.54,100
2.5,589.03,100
3.0,588.5,100
3.5,588.17,100
4.0,587.96,100
4.5,587.81,100
5.0,587.66,100
5.5,587.35,100
6.0,587.23,100
6.5,587.04,100
7.0,586.67,100
7.5,586.53,100
8.0,586.29,100
8.5,586.2,100
9.0,586.04,100
9.5,585.9,100
10.0,585.81,100
10.5,585.69,100
11.0,585.67,100
11.5,585.65,100
12.0,585.56,100
12.5,585.52,100
13.0,585.49,100
13.5,585.4,100
14.0,585.35,100
14.5,585.31,100
15.0,585.23,100
15.5,585.2,100
16.0,585.2,100
16.5,585.2,100
17.0,585.18,100
17.5,585.17,100
18.0,585.13,100
18.5,585.11,100
19.0,585.11,100
19.5,585.05,100
20.0,585.04,100
20.5,584.99,100
21.0,584.98,100
21.5,584.97,100
22.0,584.95,100
22.5,584.95,100
23.0,584.95,100
23.5,584.94,100
24.0,584.92,100
24.5,584.89,100
25.0,584.84,100
25.5,584.84,100
26.0,584.84,100
26.5,584.84,100
27.0,584.82,100
27.5,584.82,100
28.0,584.8,100
28.5,584.79,100
29.0,584.79,100
29.5,584.78,100
30.0,584.78,100
